series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	360	113.9174	-0.994582204	IDN	Indonesia	1	PERCENT	Percentage	1.69706	1.69801	1.69506	1.71076	1.71592	1.72316	1.72897	1.73992	1.73786	1.73174	1.72574	1.70579	1.72821	2016	1.70579	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	PERCENT	Percentage	3.70276	3.7101	3.71482	3.71476	3.70074	3.67734	3.65467	3.63355	3.60463	3.58799	3.56956	3.54331	3.587808	2016	3.54331	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	368	43.76606267	33.05013795	IRQ	Iraq	1	PERCENT	Percentage	1.08443	1.12985	1.17439	1.21511	1.18843	1.11334	1.04946	0.99563	0.9367	0.94823	0.98357	0.96953	0.966732	2016	0.96953	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	372	-7.121425272	53.25274054	IRL	Ireland	1	PERCENT	Percentage	2.23068	2.22768	2.22527	2.21506	2.21054	2.21718	2.21747	2.21577	2.22251	2.21765	2.21388	2.21849	2.21766	2016	2.21849	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	376	34.62277992	31.06164552	ISR	Israel	1	PERCENT	Percentage	2.13382	2.13021	2.13875	2.14248	2.13655	2.12572	2.12718	2.11816	2.1112	2.11268	2.11686	2.11395	2.11457	2016	2.11395	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	380	12.57022427	42.79917282	ITA	Italy	1	PERCENT	Percentage	1.19887	1.20743	1.21308	1.21791	1.22245	1.22649	1.22829	1.22984	1.22778	1.23172	1.23402	1.23309	1.23129	2016	1.23309	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	PERCENT	Percentage	0.58037	0.58094	0.58256	0.57991	0.57791	0.57987	0.58021	0.57844	0.57912	0.57686	0.57569	0.56996	0.576014	2016	0.56996	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	388	-77.31068409	18.15616857	JAM	Jamaica	1	PERCENT	Percentage	0.19317	0.19497	0.1946	0.19288	0.19351	0.19316	0.19106	0.18911	0.18874	0.18228	0.18314	0.18313	0.18528	2016	0.18313	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	392	139.2716103	36.6554539	JPN	Japan	1	PERCENT	Percentage	2.17216	2.17116	2.17757	2.18161	2.17297	2.17461	2.1755	2.1751	2.17723	2.18072	2.17747	2.16998	2.1761	2016	2.16998	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	PERCENT	Percentage	6.36195	6.36105	6.34169	6.32572	6.2615	6.19354	6.12066	6.05992	5.98246	5.94816	5.91003	5.88235	5.956584	2016	5.88235	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	400	37.13024774	30.65365973	JOR	Jordan	1	PERCENT	Percentage	0.50951	0.50602	0.50634	0.50871	0.51007	0.51091	0.51295	0.51195	0.50924	0.50476	0.50438	0.50318	0.506702	2016	0.50318	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	404	37.86096816	0.534797278	KEN	Kenya	1	PERCENT	Percentage	2.01872	2.01546	2.01235	2.00632	2.00934	2.0056	2.00621	2.00789	2.01192	2.01425	2.02679	2.03542	2.019254	2016	2.03542	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	PERCENT	Percentage	1.27897	1.31369	1.3544	1.38098	1.38819	1.39505	1.40717	1.41509	1.42372	1.43397	1.41961	1.38916	1.41631	2016	1.38916	Global Surface Water Explorer extraction for UN Environment	C
