"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfSpeed_Code","TypeOfSpeed_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","4294","2699","1738","1035","412","32","","0",2016.0,"0","Data nature not available","[2009]: Andorra Telecom // [2014,2016]: Andorra Telecom SAU // [2010-2013]: Servei de Telecomunicacions d'Andorra",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","5039","11238","17426","21667","25543","28622","30694","32490",2016.0,"32490","Data nature not available","[2009]: Andorra Telecom // [2014-2016]: Andorra Telecom SAU // [2010-2013]: Servei de Telecomunicacions d'Andorra",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","13608","10565","6599","4203","1179","116","","0",2016.0,"0","Data nature not available","[2009]: Andorra Telecom // [2014,2016]: Andorra Telecom SAU // [2010-2013]: Servei de Telecomunicacions d'Andorra",""
"20","Andorra","AND","1.576257417","42.54548611","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","1148","3601","6282","10341","14616","18526","20672","22941","24502","25763","26905","27734","28770","30694","32490",2016.0,"32490","Data nature not available","[2015-2016]: Andorra Telecom SAU // [2007-2009]: ITU estimate. // [2002-2006]: NA // [2010-2014]: Servei de Telecomunicacions d'Andorra",""
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","","","","7458","11700","15942","15000","15000","15817","20512","22282","67750","153571","123135",2016.0,"123135","Data nature not available","[2011-2014]: ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY // [2015-2016]: Angolan Institute of Communications // [2007-2010]: ITU estimate. // [2006]: NA","[2014]: Break in comparability. As of 2014 including fixed wireless. // [2016]: decrease due to companies that closed."
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","4","6","9","1281","3206","6889",2016.0,"6889","Data nature not available","[2011-2013]: ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY // [2014-2016]: Angolan Institute of Communications","Incomplete. Some operators are missing."
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","8350","10780","14830","30825","13160","15569",2016.0,"15569","Data nature not available","[2011-2013]: ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY // [2014-2016]: Angolan Institute of Communications","Incomplete. Some operators are missing."
"24","Angola","AGO","17.57817062","-12.33724746","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","2147","2902","4001","6765","27294","43162",2016.0,"43162","Data nature not available","[2011-2013]: ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY // [2014-2016]: Angolan Institute of Communications","Incomplete. Some operators are missing."
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","","5","5","","","",2013.0,"5","Data nature not available","[2012]: Telecom Divison/Ministry of Telecommunications, Science & Technology // [2013]: Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","","4005","3094","6923","","3655",2016.0,"3655","Data nature not available","[2016]: Ministry of Information, Broadcasting, Telecommunications and Information Technology // [2014]: Ministry of Information, Broadcasting, Telecommunications, and Information Technology // [2012]: Telecom Divison/Ministry of Telecommunications, Science & Technology // [2013]: Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","","220","1051","3831","","0",2016.0,"0","Data nature not available","[2016]: Ministry of Information, Broadcasting, Telecommunications and Information Technology // [2014]: Ministry of Information, Broadcasting, Telecommunications, and Information Technology // [2012]: Telecom Divison/Ministry of Telecommunications, Science & Technology // [2013]: Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","","1662","5801","1541","2266","4986","16014","7119","6000","13070","15647","10754","12000","9261",2016.0,"9261","Data nature not available","[2004-2009,2015]: ITU estimate. // [2016]: Ministry of Information, Broadcasting, Telecommunications and Information Technology // [2014]: Ministry of Information, Broadcasting, Telecommunications, and Information Technology // [2010-2011]: Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology // [2012]: Telecom Divison/Ministry of Telecommunications, Science & Technology // [2013]: Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","1000","","","2184","3955","14600","60000","100000","475295","973869","1369594","1712177","1898070","1899456","1803662",2016.0,"1803662","Data nature not available","[2014-2015]: Ministry of Communications and High Technologies (MC&HT) // [2010]: Ministry of Communications and Information Technologies // [2011-2013]: Ministry of Communications and Information Technologies (MC&IT) // [2002,2005-2009]: Ministry of Communications and Information Technologies. // [2016]: Ministry of Transport, Communications and High Technologies (MTC&HT) "," "
