series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Mode of transportation	Units description	Mode of transportation description	2016	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	20	1.576257417	42.54548611	AND	Andorra	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	20	1.576257417	42.54548611	AND	Andorra	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	20	1.576257417	42.54548611	AND	Andorra	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	24	17.57817062	-12.33724746	AGO	Angola	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	24	17.57817062	-12.33724746	AGO	Angola	2	T_KM	RAI	Tonne kilometres	rail transport	765667333.10352	2016	765667333.10352	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	24	17.57817062	-12.33724746	AGO	Angola	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	T_KM	ROA	Tonne kilometres	road transport	512880675.86725	2016	512880675.86725	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	T_KM	RAI	Tonne kilometres	rail transport	5.192e+09	2016	5.192e+09	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	T_KM	ROA	Tonne kilometres	road transport	1.6486e+10	2016	1.6486e+10	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	2	T_KM	RAI	Tonne kilometres	rail transport	13235350394.2786	2016	13235350394.2786	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	3	T_KM	ROA	Tonne kilometres	road transport	121992988314.106	2016	121992988314.106	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	36	134.3499412	-25.57717202	AUS	Australia	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	36	134.3499412	-25.57717202	AUS	Australia	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	36	134.3499412	-25.57717202	AUS	Australia	3	T_KM	ROA	Tonne kilometres	road transport	216425325224.864	2016	216425325224.864	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	40	14.14172472	47.58704857	AUT	Austria	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	40	14.14172472	47.58704857	AUT	Austria	2	T_KM	RAI	Tonne kilometres	rail transport	2.0856e+10	2016	2.0856e+10	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	40	14.14172472	47.58704857	AUT	Austria	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	44	-78.05111663	24.69546597	BHS	Bahamas	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	44	-78.05111663	24.69546597	BHS	Bahamas	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	44	-78.05111663	24.69546597	BHS	Bahamas	3	T_KM	ROA	Tonne kilometres	road transport	2237508149.5315	2016	2237508149.5315	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	48	50.5490754	26.04407747	BHR	Bahrain	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	48	50.5490754	26.04407747	BHR	Bahrain	2	T_KM	RAI	Tonne kilometres	rail transport	824720000	2016	824720000	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	48	50.5490754	26.04407747	BHR	Bahrain	3	T_KM	ROA	Tonne kilometres	road transport	12381200000	2016	12381200000	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	50	89.17660788	22.86961622	BGD	Bangladesh	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	50	89.17660788	22.86961622	BGD	Bangladesh	2	T_KM	RAI	Tonne kilometres	rail transport	1227376264.93253	2016	1227376264.93253	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	50	89.17660788	22.86961622	BGD	Bangladesh	3	T_KM	ROA	Tonne kilometres	road transport	18113939102.9868	2016	18113939102.9868	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	51	44.93839317	40.29499741	ARM	Armenia	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	51	44.93839317	40.29499741	ARM	Armenia	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	51	44.93839317	40.29499741	ARM	Armenia	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	52	-59.5346489	13.13648273	BRB	Barbados	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	52	-59.5346489	13.13648273	BRB	Barbados	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	52	-59.5346489	13.13648273	BRB	Barbados	3	T_KM	ROA	Tonne kilometres	road transport	1149871155.57703	2016	1149871155.57703	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	56	4.660976456	50.64104975	BEL	Belgium	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	56	4.660976456	50.64104975	BEL	Belgium	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	56	4.660976456	50.64104975	BEL	Belgium	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	60	-64.78155012	32.27881922	BMU	Bermuda	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	60	-64.78155012	32.27881922	BMU	Bermuda	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	60	-64.78155012	32.27881922	BMU	Bermuda	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	64	90.45098484	27.39598568	BTN	Bhutan	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	64	90.45098484	27.39598568	BTN	Bhutan	2	T_KM	RAI	Tonne kilometres	rail transport	362029157.3276	2016	362029157.3276	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	64	90.45098484	27.39598568	BTN	Bhutan	3	T_KM	ROA	Tonne kilometres	road transport	1027002594.67413	2016	1027002594.67413	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	T_KM	ROA	Tonne kilometres	road transport	20094245491.4047	2016	20094245491.4047	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	T_KM	RAI	Tonne kilometres	rail transport	1366299844.77679	2016	1366299844.77679	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	72	23.81380223	-22.18810073	BWA	Botswana	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	72	23.81380223	-22.18810073	BWA	Botswana	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	72	23.81380223	-22.18810073	BWA	Botswana	3	T_KM	ROA	Tonne kilometres	road transport	2228408157.53172	2016	2228408157.53172	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	76	-53.08432878	-10.77668561	BRA	Brazil	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	76	-53.08432878	-10.77668561	BRA	Brazil	2	T_KM	RAI	Tonne kilometres	rail transport	258859214534.15	2016	258859214534.15	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	76	-53.08432878	-10.77668561	BRA	Brazil	3	T_KM	ROA	Tonne kilometres	road transport	250781360600.578	2016	250781360600.578	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	84	-88.70199554	17.19965901	BLZ	Belize	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	84	-88.70199554	17.19965901	BLZ	Belize	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	84	-88.70199554	17.19965901	BLZ	Belize	3	T_KM	ROA	Tonne kilometres	road transport	672604394.12786	2016	672604394.12786	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	T_KM	ROA	Tonne kilometres	road transport	182033569.35125	2016	182033569.35125	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	25.23763153	42.75731323	BGR	Bulgaria	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	25.23763153	42.75731323	BGR	Bulgaria	2	T_KM	RAI	Tonne kilometres	rail transport	3.434e+09	2016	3.434e+09	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	25.23763153	42.75731323	BGR	Bulgaria	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	96.51752295	21.19332882	MMR	Myanmar	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	96.51752295	21.19332882	MMR	Myanmar	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	96.51752295	21.19332882	MMR	Myanmar	3	T_KM	ROA	Tonne kilometres	road transport	4229503.34669	2016	4229503.34669	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	29.89080992	-3.366387428	BDI	Burundi	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	29.89080992	-3.366387428	BDI	Burundi	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	29.89080992	-3.366387428	BDI	Burundi	3	T_KM	ROA	Tonne kilometres	road transport	463572756.22267	2016	463572756.22267	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	28.04940161	53.54193075	BLR	Belarus	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	28.04940161	53.54193075	BLR	Belarus	2	T_KM	RAI	Tonne kilometres	rail transport	48626621768.555	2016	48626621768.555	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	28.04940161	53.54193075	BLR	Belarus	3	T_KM	ROA	Tonne kilometres	road transport	10363844764.8074	2016	10363844764.8074	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	104.922836	12.71163737	KHM	Cambodia	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	104.922836	12.71163737	KHM	Cambodia	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	104.922836	12.71163737	KHM	Cambodia	3	T_KM	ROA	Tonne kilometres	road transport	2902731533.18346	2016	2902731533.18346	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	12.7419827	5.692387031	CMR	Cameroon	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	12.7419827	5.692387031	CMR	Cameroon	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	12.7419827	5.692387031	CMR	Cameroon	3	T_KM	ROA	Tonne kilometres	road transport	5893179262.11366	2016	5893179262.11366	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	-101.6575058	57.72360191	CAN	Canada	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	-101.6575058	57.72360191	CAN	Canada	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	-101.6575058	57.72360191	CAN	Canada	3	T_KM	ROA	Tonne kilometres	road transport	136502776130.859	2016	136502776130.859	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	-23.63544151	15.07791834	CPV	Cabo Verde	2	T_KM	RAI	Tonne kilometres	rail transport	17709597.33125	2016	17709597.33125	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	-23.63544151	15.07791834	CPV	Cabo Verde	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	136	-81.16740559	19.32266656	CYM	Cayman Islands	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	136	-81.16740559	19.32266656	CYM	Cayman Islands	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	140	20.93559492	7.003720791	CAF	Central African Republic	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	140	20.93559492	7.003720791	CAF	Central African Republic	2	T_KM	RAI	Tonne kilometres	rail transport	12559802.97527	2016	12559802.97527	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	140	20.93559492	7.003720791	CAF	Central African Republic	3	T_KM	ROA	Tonne kilometres	road transport	154904236.69501	2016	154904236.69501	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	80.70489654	7.614693343	LKA	Sri Lanka	2	T_KM	RAI	Tonne kilometres	rail transport	4259105038.55094	2016	4259105038.55094	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	80.70489654	7.614693343	LKA	Sri Lanka	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	148	18.66618401	15.36279341	TCD	Chad	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	148	18.66618401	15.36279341	TCD	Chad	2	T_KM	RAI	Tonne kilometres	rail transport					
