series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number	1	2	6	6	6	6	6	6	6	6	6	6	6	6	10	10	10	10	48	48	48	48	48	48	48	48	48	48	48	48	2018	48	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	Number	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	13	13	13	13	13	13	13	13	13	13	13	13	2018	13	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	Number																			6	6	6	6	6	6	6	6	6	6	6	6	2018	6	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	Number	0	3	3	3	16	16	16	16	16	16	17	17	17	17	17	28	28	28	39	44	44	46	42	26	26	26	26	26	26	26	2018	26	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	Number					2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2018	2	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	Number	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2018	2	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	Number			1	2	2	2	2	2	2	2	2	4	4	6	6	6	6	6	21	21	20	20	20	20	20	20	20	20	23	20.6	2018	23	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	Number		1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	19	19	19	19	19	19	19	19	19	19	19	19	2018	19	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	Number	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	3	3	3	7	7	8	6	5	5	5	5	5	5	5	5	2018	5	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	Number	10	16	28	28	28	28	28	28	28	28	28	28	28	37	38	38	38	38	92	92	92	92	92	92	92	92	92	92	92	92	2018	92	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	Number																			1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	NUMBER	Number					1	2	2	2	2	2	2	2	2	2	2	2	2	2	8	8	8	8	8	8	8	8	8	8	8	8	2018	8	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	NUMBER	Number	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	NUMBER	Number	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	9	5	3	3	3	3	3	3	3	3	3	3	2018	3	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	NUMBER	Number	2	5	6	6	8	17	17	18	18	18	18	18	18	18	18	18	18	18	19	19	19	19	19	19	19	19	19	19	19	19	2018	19	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	NUMBER	Number	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	2018	3	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	112	28.04940161	53.54193075	BLR	Belarus	1	NUMBER	Number	5	5	5	5	5	5	5	5	5	5	5	5	5	9	10	10	10	10	15	15	15	15	15	15	15	15	15	15	15	15	2018	15	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	116	104.922836	12.71163737	KHM	Cambodia	1	NUMBER	Number	1	2	2	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	16	16	16	16	16	16	16	16	16	16	16	2018	16	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	NUMBER	Number	3	3	3	5	5	5	5	5	5	6	6	6	6	11	11	11	11	11	21	21	21	21	21	21	21	21	21	21	21	21	2018	21	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	124	-101.6575058	57.72360191	CAN	Canada	1	NUMBER	Number	0	0	0	2	7	7	7	7	7	7	10	10	10	10	10	12	12	12	23	23	23	23	23	23	23	23	19	18	18	20.2	2018	18	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	NUMBER	Number																			9	9	9	9	9	9	9	9	9	9	9	9	2018	9	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	NUMBER	Number	2	2	4	4	4	4	4	4	4	4	8	8	9	12	12	12	12	12	20	20	12	12	12	12	12	12	12	12	12	12	2018	12	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	148	18.66618401	15.36279341	TCD	Chad	1	NUMBER	Number	1	1	1	2	29	29	29	29	29	29	31	31	31	31	31	31	31	31	35	35	35	35	35	35	35	35	35	35	35	35	2018	35	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	NUMBER	Number	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	47	47	47	47	47	47	47	47	47	47	47	47	2018	47	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	156	104.1403375	32.30955217	CHN	China	1	NUMBER	Number	373	380	381	386	401	411	416	426	430	433	434	435	435	449	455	465	486	493	573	571	571	571	571	571	571	571	571	571	602	577.2	2018	602	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	170	-73.07446751	3.888209046	COL	Colombia	1	NUMBER	Number	10	10	10	10	10	10	10	10	10	17	17	17	18	19	19	19	19	19	20	20	20	20	20	20	20	20	20	20	20	20	2018	20	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	174	43.34234565	-11.66121732	COM	Comoros	1	NUMBER	Number														1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	2018	7	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	175	45.14015057	-12.82217691	MYT	Mayotte	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	178	15.22052612	-0.840544119	COG	Congo	1	NUMBER	Number																			3	3	3	3	3	3	3	3	3	3	3	3	2018	3	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	NUMBER	Number	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	25	25	25	25	25	25	25	25	25	25	25	25	2018	25	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	NUMBER	Number					4	4	4	4	4	4	4	4	4	4	4	4	4	4	8	8	8	8	8	8	8	8	8	8	8	8	2018	8	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	NUMBER	Number																			4	4	4	4	4	4	4	4	4	4	4	4	2018	4	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	191	17.95874553	45.45172212	HRV	Croatia	1	NUMBER	Number	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2018	2	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	192	-79.54460144	22.10030366	CUB	Cuba	1	NUMBER	Number	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	44	44	44	44	44	44	44	44	44	44	44	44	2018	44	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	196	33.22285964	35.05659437	CYP	Cyprus	1	NUMBER	Number	1	1	1	8	10	10	10	10	10	10	10	10	10	10	11	12	12	12	15	15	15	15	15	15	15	15	15	15	15	15	2018	15	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	203	15.33151382	49.73913871	CZE	Czechia	1	NUMBER	Number	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	4	4	3	3	3	3	3	3	3	3	3	2018	3	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	204	2.339933594	9.65401646	BEN	Benin	1	NUMBER	Number	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	10	10	10	10	10	10	10	10	10	10	10	10	2018	10	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	208	9.326571283	56.03829721	DNK	Denmark	1	NUMBER	Number	0	0	0	0	0	0	0	1	3	3	3	3	3	3	3	4	3	3	4	7	7	7	7	7	7	6	6	4	4	5.4	2018	4	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	212	-61.3493756	15.43391378	DMA	Dominica	1	NUMBER	Number																			3	3	3	3	3	3	3	3	3	3	3	3	2018	3	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	NUMBER	Number	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	6	6	6	6	6	6	6	6	6	6	6	6	2018	6	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	NUMBER	Number	2	2	2	5	8	8	8	8	8	8	8	8	9	9	9	9	9	9	18	18	18	18	18	18	18	18	18	18	19	18.2	2018	19	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	222	-88.86862995	13.73603564	SLV	El Salvador	1	NUMBER	Number					1	2	2	2	2	2	2	2	2	2	2	2	2	2	8	8	8	8	8	8	8	8	8	8	8	8	2018	8	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	231	39.63505296	8.631223181	ETH	Ethiopia	1	NUMBER	Number	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	9	76	76	76	76	76	76	76	76	76	76	76	76	2018	76	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	232	38.11074289	16.12894644	ERI	Eritrea	1	NUMBER	Number	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	2018	6	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	233	25.84093481	58.68487172	EST	Estonia	1	NUMBER	Number	4	4	4	5	9	9	9	10	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	2018	10	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	NUMBER	Number			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0.6	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	NUMBER	Number				3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2018	3	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	242	177.9660884	-17.83301566	FJI	Fiji	1	NUMBER	Number															1	1	1	1	12	12	12	12	12	12	12	12	12	12	12	12	2018	12	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	246	23.308447	61.91586738	FIN	Finland	1	NUMBER	Number	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	6	5.2	2018	6	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	248	19.80945969	60.1544901	ALA	Åland Islands	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	250	2.457288129	46.62660861	FRA	France	1	NUMBER	Number	10	10	10	11	25	56	64	69	76	76	77	77	77	77	77	79	79	79	181	182	182	183	240	239	179	179	179	179	179	179	2018	179	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	254	-53.23619089	3.922673437	GUF	French Guiana	1	NUMBER	Number					1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	262	42.18274707	11.56004161	DJI	Djibouti	1	NUMBER	Number																			9	9	9	9	9	9	9	9	9	9	9	9	2018	9	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	266	11.78727747	-0.60687619	GAB	Gabon	1	NUMBER	Number																			9	9	9	9	9	9	9	9	9	9	9	9	2018	9	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	268	43.3713615	42.04813028	GEO	Georgia	1	NUMBER	Number	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	24	24	24	24	24	24	24	24	24	24	24	24	2018	24	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	270	-15.39944785	13.45295927	GMB	Gambia	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	275	35.25694122	31.94347933	PSE	State of Palestine	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	276	10.3806066	51.08862743	DEU	Germany	1	NUMBER	Number	1	1	1	1	2	2	2	15	15	16	18	17	17	18	18	18	18	17	24	24	24	24	25	24	24	24	24	24	25	24.2	2018	25	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	288	-1.205623522	7.964825185	GHA	Ghana	1	NUMBER	Number	4	4	4	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	21	21	21	21	21	21	21	21	21	21	21	21	2018	21	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	296	-157.5643005	1.768837732	KIR	Kiribati	1	NUMBER	Number																			2	2	2	2	2	2	2	2	2	2	2	2	2018	2	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	300	22.58307827	39.47301873	GRC	Greece	1	NUMBER	Number	3	3	3	3	3	3	3	7	8	8	8	4	4	4	4	4	4	4	5	5	6	5	5	6	6	5	5	5	5	5.2	2018	5	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	304	-41.39371316	74.75625681	GRL	Greenland	1	NUMBER	Number			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	308	-61.68248568	12.11238395	GRD	Grenada	1	NUMBER	Number																			1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	NUMBER	Number																																		
