"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"419","Latin America and the Caribbean","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.15503","1.16075","1.16652","1.1676","1.16864","1.16583","1.1607","1.15855","1.15624","1.15151","1.14782","1.14939",2016.0,"1.14939","Country data","Global Surface Water Explorer extraction for UN Environment"
"420","Latin America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.02791","3.02257","3.01146","2.99995","2.9782","2.95566","2.93561","2.91931","2.9056","2.8997","2.89285","2.88619",2016.0,"2.88619","Country data","Global Surface Water Explorer extraction for UN Environment"
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"513","Europe and Northern America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.86338","3.86462","3.86791","3.86962","3.87335","3.87493","3.8741","3.87542","3.86564","3.87009","3.87472","3.88162",2016.0,"3.88162","Country data","Global Surface Water Explorer extraction for UN Environment"
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"515","Developing regions","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.21185","1.21326","1.21522","1.22752","1.23699","1.25556","1.26022","1.26439","1.27339","1.27083","1.26501","1.24469",2016.0,"1.24469","Country data","Global Surface Water Explorer extraction for UN Environment"
"722","Small island developing States (SIDS)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.21728","1.21733","1.22179","1.23143","1.23777","1.25711","1.26765","1.27361","1.28188","1.28136","1.28132","1.27172",2016.0,"1.27172","Country data","Global Surface Water Explorer extraction for UN Environment"
"738","Sub-Saharan Africa (inc. Sudan)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"746","Northern Africa (exc. Sudan)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"747","Northern Africa and Western Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.81281","0.81451","0.81537","0.81563","0.81298","0.81125","0.81056","0.81052","0.80855","0.8104","0.81033","0.80991",2016.0,"0.80991","Country data","Global Surface Water Explorer extraction for UN Environment"
