series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of skill	Units description	Type of skill description	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	12	2.678164227	28.15940032	DZA	Algeria	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	20	1.576257417	42.54548611	AND	Andorra	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	24	17.57817062	-12.33724746	AGO	Angola	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	31	50.01064725	40.39229544	AZE	Azerbaijan	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	32	-65.14563274	-35.19446255	ARG	Argentina	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	36	134.3499412	-25.57717202	AUS	Australia	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	1	Ratio	CMFL	Ratio	Copying or moving a file or folder			0.84034	0.84034	2016	0.84034	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language			0.25773	0.25773	2016	0.25773	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet			0.74419	0.74419	2016	0.74419	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices			0.81307	0.81307	2016	0.81307	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software			0.83576	0.83576	2016	0.83576	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document			0.86053	0.86053	2016	0.86053	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software			0.7568	0.7568	2016	0.7568	Eurostat	C
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	40	14.14172472	47.58704857	AUT	Austria	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	44	-78.05111663	24.69546597	BHS	Bahamas	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
