"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfMobileTechnology_Code","TypeOfMobileTechnology_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"29","Caribbean","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","",""
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","",""
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"35","South-Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","",""
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","",""
"39","Southern Europe","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","98.676998","98.838833",2015.0,"98.838833","Data nature not available","NA"
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","95.833644","96.167","96.167336","96.335425","96.33576","98","98.083294","98.500973","98.502941","98.672009","98.673686","98.674903","98.675769","98.679175","98.676998","98.838833",2015.0,"98.838833","Data nature not available","NA"
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","",""
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","",""
"54","Melanesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL4G","At least 4G mobile network","","","","","","","","","","","","","","","","","","","",""
"57","Micronesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL2G","At least 2G mobile network","","","","","","","","","","","","","","","","","","","",""
"57","Micronesia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.c","Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020","9.c.1","Proportion of population covered by a mobile network, by technology","1","IT_MOB_NTWK","Proportion of population covered by a mobile network, by technology (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","AL3G","At least 3G mobile network","","","","","","","","","","","","","","","","","","","",""
