"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Level/Status_Code","Level/Status_Desc","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","VHIGIMP","Very high level of implementation","G","Global","C","Country data","PERCENT","Percentage","40","Austria",2017.0,"","91","Float","UN Environment","","AUT","14.14172472","47.58704857"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MHIGIMP","Medium-high level of implementation","G","Global","C","Country data","PERCENT","Percentage","31","Azerbaijan",2017.0,"","66","Float","UN Environment","","AZE","50.01064725","40.39229544"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","44","Bahamas",2017.0,"","33","Float","UN Environment","","BHS","-78.05111663","24.69546597"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","48","Bahrain",2017.0,"","40","Float","UN Environment","","BHR","50.5490754","26.04407747"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","50","Bangladesh",2017.0,"","50","Float","UN Environment","","BGD","89.17660788","22.86961622"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","52","Barbados",2017.0,"","42","Float","UN Environment","","BRB","-59.5346489","13.13648273"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","112","Belarus",2017.0,"","38","Float","UN Environment","","BLR","28.04940161","53.54193075"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","56","Belgium",2017.0,"","78","Float","UN Environment","","BEL","4.660976456","50.64104975"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","84","Belize",2017.0,"","20","Float","UN Environment","","BLZ","-88.70199554","17.19965901"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MHIGIMP","Medium-high level of implementation","G","Global","C","Country data","PERCENT","Percentage","204","Benin",2017.0,"","63","Float","UN Environment","","BEN","2.339933594","9.65401646"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","64","Bhutan",2017.0,"","32","Float","UN Environment","","BTN","90.45098484","27.39598568"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","68","Bolivia (Plurinational State of)",2017.0,"","49","Float","UN Environment","","BOL","-64.66224284","-16.71273412"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MHIGIMP","Medium-high level of implementation","G","Global","C","Country data","PERCENT","Percentage","70","Bosnia and Herzegovina",2017.0,"","61","Float","UN Environment","","BIH","17.78584332","44.16845548"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","72","Botswana",2017.0,"","41","Float","UN Environment","","BWA","23.81380223","-22.18810073"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MHIGIMP","Medium-high level of implementation","G","Global","C","Country data","PERCENT","Percentage","76","Brazil",2017.0,"","51","Float","UN Environment","","BRA","-53.08432878","-10.77668561"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","96","Brunei Darussalam",2017.0,"","NA","String","UN Environment","","BRN","114.6288563","4.49736984"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","100","Bulgaria",2017.0,"","NA","String","UN Environment","","BGR","25.23763153","42.75731323"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MHIGIMP","Medium-high level of implementation","G","Global","C","Country data","PERCENT","Percentage","854","Burkina Faso",2017.0,"","63","Float","UN Environment","","BFA","-1.742843829","12.27491081"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","108","Burundi",2017.0,"","32","Float","UN Environment","","BDI","29.89080992","-3.366387428"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","132","Cabo Verde",2017.0,"","NA","String","UN Environment","","CPV","-23.63544151","15.07791834"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","116","Cambodia",2017.0,"","46","Float","UN Environment","","KHM","104.922836","12.71163737"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","120","Cameroon",2017.0,"","34","Float","UN Environment","","CMR","12.7419827","5.692387031"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","124","Canada",2017.0,"","NA","String","UN Environment","","CAN","-101.6575058","57.72360191"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","140","Central African Republic",2017.0,"","31","Float","UN Environment","","CAF","20.93559492","7.003720791"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","62","Central and Southern Asia",2017.0,"","37","Float","UN Environment","Based on 157 countries' response to the 2017 Integrated Water Resources Management questionnaire.","","",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","148","Chad",2017.0,"","32","Float","UN Environment","","TCD","18.66618401","15.36279341"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","152","Chile",2017.0,"","23","Float","UN Environment","","CHL","-71.23029019","-35.2652885"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","156","China",2017.0,"","75","Float","UN Environment","","CHN","104.1403375","32.30955217"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","170","Colombia",2017.0,"","50","Float","UN Environment","","COL","-73.07446751","3.888209046"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","174","Comoros",2017.0,"","26","Float","UN Environment","","COM","43.34234565","-11.66121732"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","178","Congo",2017.0,"","NA","String","UN Environment","","COG","15.22052612","-0.840544119"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","188","Costa Rica",2017.0,"","43","Float","UN Environment","","CRI","-84.19712782","9.970998683"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","384","Côte d'Ivoire",2017.0,"","32","Float","UN Environment","","CIV","-5.552690016","7.62211586"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","191","Croatia",2017.0,"","90","Float","UN Environment","","HRV","17.95874553","45.45172212"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","192","Cuba",2017.0,"","80","Float","UN Environment","","CUB","-79.54460144","22.10030366"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","VHIGIMP","Very high level of implementation","G","Global","C","Country data","PERCENT","Percentage","196","Cyprus",2017.0,"","91","Float","UN Environment","","CYP","33.22285964","35.05659437"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","203","Czechia",2017.0,"","79","Float","UN Environment","","CZE","15.33151382","49.73913871"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","408","Democratic People's Republic of Korea",2017.0,"","38","Float","UN Environment","","PRK","127.1803633","40.1462645"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","180","Democratic Republic of the Congo",2017.0,"","31","Float","UN Environment","","COD","23.65496507","-2.877154732"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","208","Denmark",2017.0,"","NA","String","UN Environment","","DNK","9.326571283","56.03829721"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","262","Djibouti",2017.0,"","NA","String","UN Environment","","DJI","42.18274707","11.56004161"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","212","Dominica",2017.0,"","40","Float","UN Environment","","DMA","-61.3493756","15.43391378"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","214","Dominican Republic",2017.0,"","36","Float","UN Environment","","DOM","-70.49847576","18.89832088"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","753","Eastern and South-Eastern Asia",2017.0,"","48","Float","UN Environment","Based on 157 countries' response to the 2017 Integrated Water Resources Management questionnaire.","","",""
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","218","Ecuador",2017.0,"","42","Float","UN Environment","","ECU","-78.37005241","-1.447785891"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","818","Egypt",2017.0,"","40","Float","UN Environment","","EGY","29.77468534","26.57438204"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","222","El Salvador",2017.0,"","21","Float","UN Environment","","SLV","-88.86862995","13.73603564"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","226","Equatorial Guinea",2017.0,"","24","Float","UN Environment","","GNQ","10.46535826","1.565792376"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","NODATA","No data available","G","Global","C","Country data","PERCENT","Percentage","232","Eritrea",2017.0,"","NA","String","UN Environment","","ERI","38.11074289","16.12894644"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","233","Estonia",2017.0,"","80","Float","UN Environment","","EST","25.84093481","58.68487172"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MHIGIMP","Medium-high level of implementation","G","Global","C","Country data","PERCENT","Percentage","748","Eswatini",2017.0,"","53","Float","UN Environment","","SWZ","31.50149288","-26.56471011"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","231","Ethiopia",2017.0,"","31","Float","UN Environment","","ETH","39.63505296","8.631223181"
