series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number	8	7000	5	3	146	4127	4077	1671.6	2016	4077	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number	3	4	0	0	0	6	3	1.8	2016	3	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number	102279713	103328969	99041038	80102840	49867142	49839493	47484224	65266947.4	2016	47484224	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	Number	41986	42243	42437	38697	38894	39044	39149	39644.2	2016	39149	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	Number	2917	746	1445	2848	2689	97	1433	1702.4	2016	1433	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	Number	1	1	6	15	15	9	20	13	2016	20	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	Number	69529	69283	69535	108115	107846	227111	241761	150873.6	2016	241761	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	Number	3340916	3354782	3361575	2124918	2126893	1883582	1879813	2275356.2	2016	1879813	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	Number	1	0	0	1	2	0	0	0.6	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	Number	264669	266032	268521	251555	252333	257169	261950	258305.6	2016	261950	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	Number	2.7e+07	13137591	13260415	12001914	11528143	11067291	10461013	11663755.2	2016	10461013	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	Number	10456	10471	10514	7565	7062	7300	7312	7950.6	2016	7312	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	NUMBER	Number	191840	194300	501048	512071	523337	534850	518106	517882.4	2016	518106	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	NUMBER	Number	15000	15000	15000	15000	9239	9239	9240	11543.6	2016	9240	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	NUMBER	Number	295	310	322	291	314	318	272	303.4	2016	272	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	NUMBER	Number	48309747	44558743	43673271	43072246	40774983	41292086	39343021	41631121.4	2016	39343021	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	NUMBER	Number	4018578	4076023	4101923	5142500	5332369	5601304	5898120	5215243.2	2016	5898120	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	112	28.04940161	53.54193075	BLR	Belarus	1	NUMBER	Number	0	2	0	0	0	0	0	0	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	116	104.922836	12.71163737	KHM	Cambodia	1	NUMBER	Number	4533102	4517044	4134227	4347927	5550420	5610240	4771389	4882840.6	2016	4771389	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	NUMBER	Number	19286214	19339400	19647096	20442764	19433385	20630132	19389766	19908628.6	2016	19389766	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	124	-101.6575058	57.72360191	CAN	Canada	1	NUMBER	Number	0	0	0	0	0	0	0	0	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	NUMBER	Number	170442	169326	142687	136960	135058	136792	145562	139411.8	2016	145562	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	NUMBER	Number	3987855	4013319	4005821	4019436	4048943	4096089	3756993	3985456.4	2016	3756993	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	NUMBER	Number	36329	30692	46690	34081	50804	33229	55720	44104.8	2016	55720	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	148	18.66618401	15.36279341	TCD	Chad	1	NUMBER	Number	9620369	9741519	9738244	10313316	10471524	6328205	6138675	8597992.8	2016	6138675	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	NUMBER	Number	132541	131544	125478	39	30	7	44	25119.6	2016	44	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	156	104.1403375	32.30955217	CHN	China	1	NUMBER	Number	5.2e+07	25548140	25663107	25822219	25974569	26100630	26375574	25987219.8	2016	26375574	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	170	-73.07446751	3.888209046	COL	Colombia	1	NUMBER	Number	4921126	4924261	4722872	4722564	4410048	3846506	3761361	4292670.2	2016	3761361	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	174	43.34234565	-11.66121732	COM	Comoros	1	NUMBER	Number	517852	518985	524706	521439	522782	525978	527919	524564.8	2016	527919	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	175	45.14015057	-12.82217691	MYT	Mayotte	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	178	15.22052612	-0.840544119	COG	Congo	1	NUMBER	Number	3223012	3249179	3404680	3523377	3567584	1346327	2278289	2824051.4	2016	2278289	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	NUMBER	Number	60983338	61690568	61568637	60606457	57543026	52564709	49900757	56436717.2	2016	49900757	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	NUMBER	Number	0	0	0	0	946	765	0	342.2	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	NUMBER	Number	51178	50827	49995	51844	28942	12855	23769	33481	2016	23769	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	191	17.95874553	45.45172212	HRV	Croatia	1	NUMBER	Number	0	1	2	7	20	11	9	9.8	2016	9	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	192	-79.54460144	22.10030366	CUB	Cuba	1	NUMBER	Number	167722	164093	162007	55804	50265	43862	43687	71125	2016	43687	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	196	33.22285964	35.05659437	CYP	Cyprus	1	NUMBER	Number	1	3	5	0	0	3	0	1.6	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	203	15.33151382	49.73913871	CZE	Czechia	1	NUMBER	Number	0	0	0	0	0	0	0	0	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	204	2.339933594	9.65401646	BEN	Benin	1	NUMBER	Number	7239210	7706956	6277773	6618720	4358046	7029345	6938376	6244452	2016	6938376	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	208	9.326571283	56.03829721	DNK	Denmark	1	NUMBER	Number	0	0	0	0	0	0	0	0	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	212	-61.3493756	15.43391378	DMA	Dominica	1	NUMBER	Number	3121	3080	2723	7949	7879	7546	7473	6714	2016	7473	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	NUMBER	Number	1193533	1365512	1303776	1306123	1183935	989731	970832	1150879.4	2016	970832	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	NUMBER	Number	340067	318717	321415	193708	1789316	1943932	1942753	1238224.8	2016	1942753	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	222	-88.86862995	13.73603564	SLV	El Salvador	1	NUMBER	Number	242858	238045	233387	849969	821068	702992	742568	669996.8	2016	742568	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	NUMBER	Number	461503	462546	463562	464044	465031	466357	428948	457588.4	2016	428948	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	231	39.63505296	8.631223181	ETH	Ethiopia	1	NUMBER	Number	67362948	68844933	70359521	71907431	73489394	75106161	74204513	73013404	2016	74204513	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	232	38.11074289	16.12894644	ERI	Eritrea	1	NUMBER	Number	3577000	3577000	3577000	3577000	557635	1441264	1497725	2130124.8	2016	1497725	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	233	25.84093481	58.68487172	EST	Estonia	1	NUMBER	Number	0	0	3	3	1	0	0	1.4	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	242	177.9660884	-17.83301566	FJI	Fiji	1	NUMBER	Number	879985	529984	637852	277616	892573	898821	905113	722395	2016	905113	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	246	23.308447	61.91586738	FIN	Finland	1	NUMBER	Number	1	1	3	4	0	2	4	2.6	2016	4	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	248	19.80945969	60.1544901	ALA	Åland Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	250	2.457288129	46.62660861	FRA	France	1	NUMBER	Number	46	76	64	47	51	61	49	54.4	2016	49	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	254	-53.23619089	3.922673437	GUF	French Guiana	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	262	42.18274707	11.56004161	DJI	Djibouti	1	NUMBER	Number	127766	128196	131879	105768	107378	108810	110561	112879.2	2016	110561	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	266	11.78727747	-0.60687619	GAB	Gabon	1	NUMBER	Number	1444093	1451759	1462559	1520924	1534599	1560166	694499	1354549.4	2016	694499	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	268	43.3713615	42.04813028	GEO	Georgia	1	NUMBER	Number	147	130	114	126	57	80	412310	82537.4	2016	412310	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	270	-15.39944785	13.45295927	GMB	Gambia	1	NUMBER	Number	1200000	1200000	1200000	1200000	1200000	171850	177144	789798.8	2016	177144	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	275	35.25694122	31.94347933	PSE	State of Palestine	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	276	10.3806066	51.08862743	DEU	Germany	1	NUMBER	Number	117	146	119	132	131	158	111	130.2	2016	111	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	288	-1.205623522	7.964825185	GHA	Ghana	1	NUMBER	Number	12030074	12254998	12030074	10626517	18678710	15536903	15536910	14481822.8	2016	15536910	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	296	-157.5643005	1.768837732	KIR	Kiribati	1	NUMBER	Number	93236	103058	103058	24068	37103	33294	117424	62989.4	2016	117424	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	300	22.58307827	39.47301873	GRC	Greece	1	NUMBER	Number	41	60	71	86	96	79	77	81.8	2016	77	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	304	-41.39371316	74.75625681	GRL	Greenland	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	308	-61.68248568	12.11238395	GRD	Grenada	1	NUMBER	Number	878	873	896	156	39	11	151	250.6	2016	151	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	316	144.7029305	13.35485404	GUM	Guam	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	320	-91.2312746	15.00273719	GTM	Guatemala	1	NUMBER	Number	2718785	3298737	3216909	3205688	3234783	3321447	3265661	3248897.6	2016	3265661	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	324	-11.28173419	11.00210343	GIN	Guinea	1	NUMBER	Number	8203062	8303988	8268055	8735878	8839057	7973039	7246135	8212432.8	2016	7246135	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	328	-58.97322037	4.788012784	GUY	Guyana	1	NUMBER	Number	690869	690869	690869	544676	719455	747901	720459	684672	2016	720459	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	332	-72.33640958	18.40426539	HTI	Haiti	1	NUMBER	Number	9603682	10018427	10905822	11166579	11358721	9831829	7581135	10168817.2	2016	7581135	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	336	12.45315803	41.90343751	VAT	Holy See	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	340	-86.59974381	14.82243161	HND	Honduras	1	NUMBER	Number	2601881	2612618	2621397	2646769	2663781	2399777	2752416	2616828	2016	2752416	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	348	19.41221519	47.1651448	HUN	Hungary	1	NUMBER	Number	9	11	6	5	2	2	5	4	2016	5	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	352	-19.02116966	64.79134763	ISL	Iceland	1	NUMBER	Number	0	0	0	0	0	0	0	0	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	356	79.3608464	22.34642074	IND	India	1	NUMBER	Number	676907852	683421629	675898255	581636464	576971260	497396247	458855231	558151491.4	2016	458855231	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	360	113.9174	-0.994582204	IDN	Indonesia	1	NUMBER	Number	157192592	152147527	146815201	141350574	127886656	111437132	101813236	125860559.8	2016	101813236	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	NUMBER	Number	23062	19560	21068	16161	16076	18692	0	14399.4	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	368	43.76606267	33.05013795	IRQ	Iraq	1	NUMBER	Number	3203400	3243291	3574492	2003182	2040539	2107072	2170486	2379154.2	2016	2170486	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	372	-7.121425272	53.25274054	IRL	Ireland	1	NUMBER	Number	1	0	0	1	0	0	2	0.6	2016	2	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	376	34.62277992	31.06164552	ISR	Israel	1	NUMBER	Number	234	310	354	326	343	231	233	297.4	2016	233	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	380	12.57022427	42.79917282	ITA	Italy	1	NUMBER	Number	76	63	81	62	0	0	12	31	2016	12	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	NUMBER	Number	17858797	18024926	17470746	19946532	18127710	18738388	16756532	18207981.6	2016	16756532	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	388	-77.31068409	18.15616857	JAM	Jamaica	1	NUMBER	Number	125663	124004	144481	417491	410764	343044	347536	332663.2	2016	347536	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	392	139.2716103	36.6554539	JPN	Japan	1	NUMBER	Number	256	114	7	13	12	11	5	9.6	2016	5	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	NUMBER	Number	8	36	17	14	14	25	185	51	2016	185	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	400	37.13024774	30.65365973	JOR	Jordan	1	NUMBER	Number	155	136	103	146	182	70	126	125.4	2016	126	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	404	37.86096816	0.534797278	KEN	Kenya	1	NUMBER	Number	21811703	22415224	22763712	23545928	12283203	13642040	11770703	16801117.2	2016	11770703	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	NUMBER	Number	1949632	1911883	2076931	908349	5643102	6082191	5214937	3985102	2016	5214937	WHO Global Health Observatory	CA
