series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	CON_USD	Constant USD	37.00877	41.63553	248.87511	38.74465	23.55256	27.37153	38.63173	137.1807	443.77706	567.73735	230.45435	158.42958	153.47669	220.48523	206.61448	193.892066	2016	206.61448	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	CON_USD	Constant USD	0.16639	0.31769	0.19306	0.30147	0.13044		0.06092	0.05337	0.07921	0.90799	0.15294	0.05849	0.37256	0.35508	0.65011	0.317836	2016	0.65011	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	CON_USD	Constant USD	0.20586	0.02113	0.00816	1.34023	8.60699	0.86149	6.39454	4.679	11.67506	5.81232	8.17786	9.78319	12.51861	3.10261	2.35465	7.187384	2016	2.35465	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	100	25.23763153	42.75731323	BGR	Bulgaria	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	104	96.51752295	21.19332882	MMR	Myanmar	1	CON_USD	Constant USD	0.17687	2.28616	0.39596	0.99699	6.24795	1.11101	1.5827	2.10675	11.09896	12.9231	9.39628	46.93464	34.61412	71.36901	13.46267	35.155344	2016	13.46267	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	108	29.89080992	-3.366387428	BDI	Burundi	1	CON_USD	Constant USD	15.95596	0.5831			1.22079	0.03657	4.98238	7.61337	4.6583	15.9189	8.22381	47.54604	3.72151	12.82688	4.58176	15.38	2016	4.58176	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	112	28.04940161	53.54193075	BLR	Belarus	1	CON_USD	Constant USD				0.00114			9.5845	0.92428	0.53007	5.74808	13.88285	0.32825	0.47949	0.30045		3.74776	2015	0.30045	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	116	104.922836	12.71163737	KHM	Cambodia	1	CON_USD	Constant USD	13.22717	13.08375	1.26258	2.1313	38.28212	2.89896	11.74773	10.24619	48.56493	19.26434	52.60913	26.12097	56.96119	41.29226	13.21786	38.040282	2016	13.21786	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	120	12.7419827	5.692387031	CMR	Cameroon	1	CON_USD	Constant USD	5.28582	0.114	25.60057	7.56824	11.98024	9.89513	13.54888	10.21502	13.77016	98.47013	143.85217	7.64028	9.14472	45.19241	22.12659	45.591234	2016	22.12659	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	124	-101.6575058	57.72360191	CAN	Canada	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	CON_USD	Constant USD	3.8088	11.83882	3.71776	21.68239	3.00848	1.95731	7.3656	7.98452	5.83798	6.60276	0.88733	0.79228	0.58416	29.70332	0.561	6.505618	2016	0.561	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	140	20.93559492	7.003720791	CAF	Central African Republic	1	CON_USD	Constant USD	0.08488		22.632	9.53711	6.35123	16.82812	15.12695	21.14349	0.07941	1.36179	4.7111	1.11691	0.37236	5.91409	6.42203	3.707298	2016	6.42203	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	CON_USD	Constant USD	5.12322	17.47371	14.66994	14.15317	18.57921	12.33167	1.31529	1.00848	133.86759	2.74367	5.91373	5.09388	9.4576	30.34119	147.29084	39.619448	2016	147.29084	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	148	18.66618401	15.36279341	TCD	Chad	1	CON_USD	Constant USD	0.00138			38.29747	10.63076	0.03434	0.06155	14.42435	18.58549	7.09781	4.3737	10.18235	1.23854	7.55564	40.10291	12.690628	2016	40.10291	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	152	-71.23029019	-35.2652885	CHL	Chile	1	CON_USD	Constant USD	7.40214	3.83999	0.45558	1.30106	0.74333	1.76388	1.23037	8.96024	1.56367	1.91146	2.31771	0.85834	4.32376	0.9655	1.41812	1.976686	2016	1.41812	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	156	104.1403375	32.30955217	CHN	China	1	CON_USD	Constant USD	529.82506	500.65948	300.72613	604.31884	482.65612	822.62083	66.52263	31.84793	215.74131	32.55821	54.69121	130.39093	48.64103	163.44302	132.1132	105.855878	2016	132.1132	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	170	-73.07446751	3.888209046	COL	Colombia	1	CON_USD	Constant USD	5.14672	2.34489	26.66467	12.10284	20.84186	53.6247	12.95951	19.43528	34.66779	12.94091	114.19944	64.71217	101.06464	499.18553	226.56896	201.146148	2016	226.56896	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	174	43.34234565	-11.66121732	COM	Comoros	1	CON_USD	Constant USD					0.29309			0.01654	0.98029	0.12144		3.47677	3.36672	0.00675	0.0355	1.721435	2016	0.0355	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	175	45.14015057	-12.82217691	MYT	Mayotte	1	CON_USD	Constant USD							2.41623	0.64798	1.04219								2010	1.04219	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	178	15.22052612	-0.840544119	COG	Congo	1	CON_USD	Constant USD	0.70852	0.36481	1.17822	3.08973	4.99227	1.2821	9.35108	4.43403	3.08522	8.28233	11.20106	0.7651	0.8271	70.45044	112.3119	39.11112	2016	112.3119	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	CON_USD	Constant USD	1.3786	6.9702	3.72729	11.51417	13.62367	14.68303	68.41591	26.46907	29.96555	74.92955	71.03484	98.06107	67.06853	257.2393	71.56352	112.993452	2016	71.56352	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	CON_USD	Constant USD	0.16118	0.5656	0.66259	3.54602	0.18265	0.00657	1.19629	0.00844	2.76916	1.07257	0.27684	1.86382	0.97912	0.17575		0.8238825	2015	0.17575	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	CON_USD	Constant USD	11.33733	3.65528	5.14941	1.9186	149.71039	1.54288	2.30207	2.25504	25.96497	2.9232	1.63144	3.73469	8.68272	2.45778	2.54024	3.809374	2016	2.54024	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	191	17.95874553	45.45172212	HRV	Croatia	1	CON_USD	Constant USD	0.39305	0.92338		0.64672	1.15332	0.98266	1.11014	0.8229	2.46749								2010	2.46749	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	192	-79.54460144	22.10030366	CUB	Cuba	1	CON_USD	Constant USD	2.37101	1.41935	7.13829	1.81855	1.45134	1.83377	2.346	12.6185	3.45934	10.19558	9.92473	4.29624	1.93923	2.53073	8.16517	5.37122	2016	8.16517	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	196	33.22285964	35.05659437	CYP	Cyprus	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	203	15.33151382	49.73913871	CZE	Czechia	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	204	2.339933594	9.65401646	BEN	Benin	1	CON_USD	Constant USD	16.34497	5.25003	23.81927	35.68879	14.83891	4.85544	17.63641	7.23905	3.37977	32.96864	30.05401	23.40025	49.42455	70.67665	2.2547	35.162032	2016	2.2547	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	208	9.326571283	56.03829721	DNK	Denmark	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	212	-61.3493756	15.43391378	DMA	Dominica	1	CON_USD	Constant USD				5.75739					0.02629	0.38474	0.02375	0.02756	0.02143	0.0138	0.00185	0.017678	2016	0.00185	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	CON_USD	Constant USD	2.15637	4.50875	12.80287	8.40313	2.55535	9.75351	5.35475	45.28846	12.48336	8.16325	8.98741	3.44623	8.54761	53.80808	7.59041	16.475948	2016	7.59041	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	CON_USD	Constant USD	23.21311	62.18459	34.04871	7.00818	15.46634	21.85296	16.55611	38.7018	49.70225	26.58714	15.18882	32.86447	57.1274	109.75912	24.03399	47.79476	2016	24.03399	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	222	-88.86862995	13.73603564	SLV	El Salvador	1	CON_USD	Constant USD	4.12216	5.206	1.10696	4.2954	1.84683	5.58288	10.90158	5.74036	7.06973	7.87016	4.20362	7.8045	13.1323	7.03716	5.78973	7.593462	2016	5.78973	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	CON_USD	Constant USD	0.95565	0.05103		0.02602		0.02862	0.01531	0.8711	0.13476	1.01427	0.12589	0.08898	0.06773	0.31619	0.156	0.150958	2016	0.156	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	231	39.63505296	8.631223181	ETH	Ethiopia	1	CON_USD	Constant USD	18.36244	6.72258	36.54059	8.48949	10.29333	15.28068	23.3232	65.69223	187.46221	58.75982	93.30496	185.21639	133.40201	302.15406	137.15542	170.246568	2016	137.15542	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	232	38.11074289	16.12894644	ERI	Eritrea	1	CON_USD	Constant USD	6.59121	0.003			1.75385	0.51647	0.58838	0.51936	1.74841	0.21966	0.27441		0.01273	0.05548	0.12052	0.115785	2016	0.12052	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	233	25.84093481	58.68487172	EST	Estonia	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	242	177.9660884	-17.83301566	FJI	Fiji	1	CON_USD	Constant USD	0.07982	1.83872	0.81275	0.47217	1.90612	0.31135	1.25887	2.50312	0.50063	1.09736	2.44108	2.28785	1.35148	2.54915	1.38522	2.002956	2016	1.38522	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	246	23.308447	61.91586738	FIN	Finland	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	248	19.80945969	60.1544901	ALA	Åland Islands	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	250	2.457288129	46.62660861	FRA	France	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	254	-53.23619089	3.922673437	GUF	French Guiana	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	CON_USD	Constant USD																				
2018.Q2.G.01	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	262	42.18274707	11.56004161	DJI	Djibouti	1	CON_USD	Constant USD	0.02918																2002	0.02918	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
