ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,TypeOfSpeed_Code,TypeOfSpeed_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
AND,1.576257417,42.54548611,20,Andorra,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,2MT10MBPS,Between 2 mbps and 10 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,Andorra Telecom,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,4294,2699,1738,1035,412,32,,0,2016.0,0
AND,1.576257417,42.54548611,20,Andorra,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,ANYS,Any speed,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,ITU estimate.,ITU estimate.,ITU estimate.,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,,1148,3601,6282,10341,14616,18526,20672,22941,24502,25763,26905,27734,28770,30694,32490,2016.0,32490
AGO,17.57817062,-12.33724746,24,Angola,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,10MBPS,10 mbps and over,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,Incomplete. Some operators are missing.,Incomplete. Some operators are missing.,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,Angolan Institute of Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,9,1281,3206,6889,2016.0,6889
AGO,17.57817062,-12.33724746,24,Angola,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,256KT2MBPS,Between 256 kbps and 2 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,Incomplete. Some operators are missing.,Incomplete. Some operators are missing.,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,Angolan Institute of Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8350,10780,14830,30825,13160,15569,2016.0,15569
AGO,17.57817062,-12.33724746,24,Angola,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,2MT10MBPS,Between 2 mbps and 10 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,Incomplete. Some operators are missing.,Incomplete. Some operators are missing.,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,Angolan Institute of Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147,2902,4001,6765,27294,43162,2016.0,43162
AGO,17.57817062,-12.33724746,24,Angola,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,ANYS,Any speed,G,Global,NUMBER,Number,,,,,,,,,,,,,,,Break in comparability. As of 2014 including fixed wireless.,,decrease due to companies that closed.,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,ITU estimate.,ITU estimate.,ITU estimate.,ITU estimate.,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,Angolan Institute of Communications,Angolan Institute of Communications,,,,,,,,,,,,,,,,,,,,,,,,7458,11700,15942,15000,15000,15817,20512,22282,67750,153571,123135,2016.0,123135
ATG,-61.7999755,17.07761471,28,Antigua and Barbuda,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,10MBPS,10 mbps and over,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,"Telecom Divison/Ministry of Telecommunications, Science & Technology","Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,2013.0,5
ATG,-61.7999755,17.07761471,28,Antigua and Barbuda,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,256KT2MBPS,Between 256 kbps and 2 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,NA,,,,,,,,,,,,,"Telecom Divison/Ministry of Telecommunications, Science & Technology","Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology","Ministry of Information, Broadcasting, Telecommunications, and Information Technology",,"Ministry of Information, Broadcasting, Telecommunications and Information Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,3094,6923,,3655,2016.0,3655
ATG,-61.7999755,17.07761471,28,Antigua and Barbuda,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,2MT10MBPS,Between 2 mbps and 10 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,NA,,,,,,,,,,,,,"Telecom Divison/Ministry of Telecommunications, Science & Technology","Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology","Ministry of Information, Broadcasting, Telecommunications, and Information Technology",,"Ministry of Information, Broadcasting, Telecommunications and Information Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1051,3831,,0,2016.0,0
ATG,-61.7999755,17.07761471,28,Antigua and Barbuda,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,ANYS,Any speed,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,ITU estimate.,ITU estimate.,ITU estimate.,ITU estimate.,ITU estimate.,ITU estimate.,"Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology","Telecom Divison/Ministry of Information, Broadcasting, Telecommunications, Science & Technology","Telecom Divison/Ministry of Telecommunications, Science & Technology","Telecoms Divison/Ministry of Information, Broadcasting, Telecommunications, & Information Technology","Ministry of Information, Broadcasting, Telecommunications, and Information Technology",ITU estimate.,"Ministry of Information, Broadcasting, Telecommunications and Information Technology",,,,,,,,,,,,,,,,,,,,,,1662,5801,1541,2266,4986,16014,7119,6000,13070,15647,10754,12000,9261,2016.0,9261
AZE,50.01064725,40.39229544,31,Azerbaijan,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,10MBPS,10 mbps and over,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Ministry of Communications and Information Technologies of the Republic of Azerbaijan,Ministry of Communications and Information Technologies of the Republic of Azerbaijan,Ministry of Communications and Information Technologies,Ministry of Communications and Information Technologies (MC&IT),Ministry of Communications and High Technologies (MC&HT),Ministry of Communications and High Technologies (MC&HT),Ministry of Communications and High Technologies (MC&HT),Ministry of Communications and High Technologies (MC&HT),"Ministry of Transport, Communications and High Technologies (MTC&HT) ",,,,,,,,,,,,,,,,,,,,,,,,,,12000,2000,13064,28353,40237,98247,142828,153856,144293,2016.0,144293
AZE,50.01064725,40.39229544,31,Azerbaijan,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,256KT2MBPS,Between 256 kbps and 2 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Ministry of Communications and Information Technologies of the Republic of Azerbaijan,Ministry of Communications and Information Technologies of the Republic of Azerbaijan,Ministry of Communications and Information Technologies,Ministry of Communications and Information Technologies (MC&IT),Ministry of Communications and High Technologies (MC&HT),Ministry of Communications and High Technologies (MC&HT),Ministry of Communications and High Technologies (MC&HT),Ministry of Communications and High Technologies (MC&HT),"Ministry of Transport, Communications and High Technologies (MTC&HT) ",,,,,,,,,,,,,,,,,,,,,,,,,,55800,93000,423200,869468,1072958,1001082,1056471,1016209,973977,2016.0,973977
