"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"61","Polynesia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","27.77778",2015.0,"27.77778","Country data","Environment Live"
"62","Central and Southern Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","45.45455",2015.0,"45.45455","Country data","Environment Live"
"97","European Union","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"127","Southern Asia (excluding India)","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"135","Caucasus and Central Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"142","Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","49.1453",2015.0,"49.1453","Country data","Environment Live"
"143","Central Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"145","Western Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","48.88889",2015.0,"48.88889","Country data","Environment Live"
"150","Europe","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","70.08547",2015.0,"70.08547","Country data","Environment Live"
"151","Eastern Europe","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","68.33333",2015.0,"68.33333","Country data","Environment Live"
