"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","","","","","","","",""
"21","Northern America","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","","","","","","","",""
"29","Caribbean","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","85.18394","22.87648","31.73455","33.8199","42.65035","29.4807","38.00396","20.76522","43.05743","127.48726","84.86665","66.56407","56.62426","66.49994","94.81574","86.44566","105.37902",2016.0,"105.37902","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"30","Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","996.66712","792.75976","259.69507","263.37837","269.40753","538.14383","358.27055","383.63386","310.16453","362.05694","358.56875","290.0154","232.59619","234.72764","172.34099","206.74245","94.72984",2016.0,"94.72984","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"34","Southern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","432.11238","912.2151","446.12607","390.41344","429.22935","692.4678","682.62889","788.24356","845.49555","694.47878","1066.12778","1202.789","1162.43965","1218.23034","1322.42147","1361.70027","1445.7521",2016.0,"1445.7521","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"35","South-Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","1006.42582","1047.75442","214.13851","305.51781","322.04923","365.38345","667.841","721.49563","808.44791","829.04735","973.22311","970.84104","933.59402","1013.98477","992.53872","1136.94684","1103.53838",2016.0,"1103.53838","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"39","Southern Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","243.68126","137.38895","66.18641","81.23133","101.59221","98.14673","118.55184","129.11531","141.18167","126.58229","140.53891","132.83541","157.62755","135.42261","201.16063","211.96961","211.67319",2016.0,"211.67319","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"53","Australia and New Zealand","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","","","","","","","",""
"54","Melanesia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","14.56683","45.82231","10.12292","3.76823","6.43558","3.51488","5.59268","7.26981","14.47076","6.46914","20.88374","14.58601","22.43241","23.50924","22.79451","21.33514","47.70011",2016.0,"47.70011","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"57","Micronesia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","0.15055","0.64814","1.68161","0.2782","0.01479","0.28084","1.41332","0.91844","0.6593","0.39325","0.78322","11.79589","3.39722","8.49673","7.94562","15.52944","13.92321",2016.0,"13.92321","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"61","Polynesia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","11.38129","3.18092","6.55571","3.59861","3.99542","6.54841","5.55207","5.18384","10.41903","11.33856","15.97035","23.88728","11.52374","11.27884","18.29979","28.08324","26.29852",2016.0,"26.29852","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"62","Central and Southern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","","","","","","","",""
"97","European Union","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","","","","","","","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","262.02516","569.08666","225.0342","217.42186","213.50036","304.17123","352.08804","509.17497","494.95629","403.56631","620.68386","719.75403","720.52345","765.31548","842.86753","885.63768","891.35148",2016.0,"891.35148","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"135","Caucasus and Central Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","99.96312","156.22227","67.12797","79.93273","96.05698","104.44024","105.40638","75.87698","140.20001","171.13753","228.56726","280.33427","224.83815","232.04818","312.66254","313.8456","386.16088",2016.0,"386.16088","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"142","Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","3003.1126","3580.74197","1213.26902","1357.39498","1459.90785","3104.48503","2890.95233","2799.02269","2731.70931","2627.22061","3248.88611","3205.02077","3023.49891","3227.78756","3608.72686","3945.42388","3928.83706",2016.0,"3928.83706","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"143","Central Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","38.11865","67.19242","21.49643","39.18805","48.3558","51.13896","55.43462","28.72458","81.82206","86.54126","85.246","87.91893","99.27447","111.23931","160.10489","165.99823","204.03264",2016.0,"204.03264","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"145","Western Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","529.78864","760.82028","271.81295","358.89731","390.86595","1457.35099","1126.77727","876.92507","685.77928","655.09627","765.72047","653.45641","595.5946","649.60551","961.32079","1074.03609","1080.7841",2016.0,"1080.7841","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"150","Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","244.09004","137.38895","69.97754","83.689","102.89464","105.32753","128.97902","140.6032","148.1748","154.54221","164.88095","151.46845","187.58593","168.68343","236.65417","285.26239","232.97885",2016.0,"232.97885","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
