series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	36	134.3499412	-25.57717202	AUS	Australia	1	PER_100_POP	Per 100 population	46.8	52.7				63	66	69.5	71.7	74.3	76	79.5	79	83.5	84	84.6	88.2	83.86	2016	88.2	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	40	14.14172472	47.58704857	AUT	Austria	1	PER_100_POP	Per 100 population	33.7	39.2	36.6	42.7	54.3	58	63.6	69.4	72.9	73.5	75.2	78.7	80	80.6	81	83.9	84.3	81.96	2016	84.3	Statistik Austria.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	44	-78.05111663	24.69546597	BHS	Bahamas	1	PER_100_POP	Per 100 population	8	11.8	18	20	22	25	26	27	31.5	33.9	43	65	71.7	72	76.9	78	80	75.72	2016	80	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	48	50.5490754	26.04407747	BHR	Bahrain	1	PER_100_POP	Per 100 population	6.2	15	18.1	21.6	21.5	21.3	28.2	32.9	52	53	55	77	88	90	90.5	93.5	98	92	2016	98	Information and E-Government Authority.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	50	89.17660788	22.86961622	BGD	Bangladesh	1	PER_100_POP	Per 100 population	0.1	0.1	0.1	0.2	0.2	0.2	1	1.8	2.5	3.1	3.7	4.5	5	6.6	13.9	14.4	18.2	11.62	2016	18.2	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	51	44.93839317	40.29499741	ARM	Armenia	1	PER_100_POP	Per 100 population	1.3	1.6	2	4.6	4.9	5.3	5.6	6	6.2	15.3	25	32	37.5	41.9	54.6	59.1	64.3	51.48	2016	64.3	National Statistical Service.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	52	-59.5346489	13.13648273	BRB	Barbados	1	PER_100_POP	Per 100 population	4	11.9	27.8	39.7	49.8	52.5	55.3	58.2	61.4	64.7	65.1	66.5	71.2	71.8	75.2	76.1	79.5	74.76	2016	79.5	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	56	4.660976456	50.64104975	BEL	Belgium	1	PER_100_POP	Per 100 population	29.4	31.3	46.3	50	53.9	55.8	59.7	64.4	66	70	75	81.6	80.7	82.2	85	85.1	86.5	83.9	2016	86.5	Eurostat.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	60	-64.78155012	32.27881922	BMU	Bermuda	1	PER_100_POP	Per 100 population	42.9	47.5	52	56.5	61	65.4	69.9	74.4	82.3	83.3	84.2	88.3	91.3	95.3	96.8	98.3	98	95.94	2016	98	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	64	90.45098484	27.39598568	BTN	Bhutan	1	PER_100_POP	Per 100 population	0.4	0.9	1.7	2.4	3.2	3.8	4.5	5.9	6.6	7.2	13.6	14.4	15.6	22.4	30.3	39.8	41.8	29.98	2016	41.8	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PER_100_POP	Per 100 population	1.4	2.1	3.1	3.5	4.4	5.2	6.2	10.5	12.5	16.8	22.4	30	35.3	37	34.6	35.6	39.7	36.44	2016	39.7	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PER_100_POP	Per 100 population	1.1	1.2	2.6	4	15.5	21.3	25.1	27.9	34.7	37.7	42.8	43.9	45.1	48.5	49.9	52.6	54.7	50.16	2016	54.7	Agency for statistics.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	72	23.81380223	-22.18810073	BWA	Botswana	1	PER_100_POP	Per 100 population	2.9	3.4	3.4	3.3	3.3	3.3	4.3	5.3	6.3	6.2	6	9	16	30	36.7	37.3	39.4	31.88	2016	39.4	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	76	-53.08432878	-10.77668561	BRA	Brazil	1	PER_100_POP	Per 100 population	2.9	4.5	9.1	13.2	19.1	21	28.2	30.9	33.8	39.2	40.7	45.7	48.6	51	54.6	58.3	60.9	54.68	2016	60.9	NIC.br	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	84	-88.70199554	17.19965901	BLZ	Belize	1	PER_100_POP	Per 100 population	6		5.7		9.8	17	24	24.6	26.3	27.2	28.2	30.7	31	33.6	38.7	41.6	44.6	37.9	2016	44.6	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PER_100_POP	Per 100 population	0.5	0.5	0.5	0.6	0.6	0.8	1.6	2	3	4	5	6	7	8	9	10	11	9	2016	11	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PER_100_POP	Per 100 population			18.9							36	37	37.4	37.6					37.6	2012	37.6	NULL	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PER_100_POP	Per 100 population	9	12.9	15.3	19.6	29.7	36.5	42.2	44.7	46	49	53	56	60.3	64.5	68.8	71.2	90	70.96	2016	90	Department of Statistics.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	100	25.23763153	42.75731323	BGR	Bulgaria	1	PER_100_POP	Per 100 population	5.4	7.6	9.1	12	18.1	20	27.1	33.6	39.7	45	46.2	48	51.9	53.1	55.5	56.7	59.8	55.4	2016	59.8	National Statistical Institute.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	104	96.51752295	21.19332882	MMR	Myanmar	1	PER_100_POP	Per 100 population		0	0	0	0	0.1	0.2	0.2	0.2	0.2	0.3	1	4	8	11.5	21.7	25.1	14.06	2016	25.1	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	108	29.89080992	-3.366387428	BDI	Burundi	1	PER_100_POP	Per 100 population	0.1	0.1	0.1	0.2	0.3	0.5	0.7	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	4.9	5.2	2.8	2016	5.2	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	112	28.04940161	53.54193075	BLR	Belarus	1	PER_100_POP	Per 100 population	1.9	4.3	9				16.2	19.7	23	27.4	31.8	39.6	46.9	54.2	59	67.3	71.1	59.7	2016	71.1	National Statistical Committee of the Republic of Belarus (Belstat).	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	116	104.922836	12.71163737	KHM	Cambodia	1	PER_100_POP	Per 100 population	0	0.1	0.2	0.3	0.3	0.3	0.5	0.5	0.5	0.5	1.3	3.1	4.9	6.8	14	22.3	32.4	16.08	2016	32.4	National Institute of Statistics.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	120	12.7419827	5.692387031	CMR	Cameroon	1	PER_100_POP	Per 100 population	0.3	0.3	0.4	0.6	1	1.4	2	2.9	3.4	3.8	4.3	5	7.5	10	16.2	20.7	25	15.88	2016	25	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	124	-101.6575058	57.72360191	CAN	Canada	1	PER_100_POP	Per 100 population	51.3	60.2	61.6	64.2	66	71.7	72.4	73.2	76.7	80.3	80.3	83	83	85.8	87.1	88.5	89.8	86.84	2016	89.8	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	PER_100_POP	Per 100 population	1.8	2.7	3.5	4.3	5.3	6.1	6.8	8.3	14	21	30	32	34.7	37.5	40.3	48	50.3	42.16	2016	50.3	Instituto Nacional de Estatística.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	PER_100_POP	Per 100 population						38	44.5	52	61	64.5	66	69.5	69.7	71.4	74.1	77	79	74.24	2016	79	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	140	20.93559492	7.003720791	CAF	Central African Republic	1	PER_100_POP	Per 100 population	0.1	0.1	0.1	0.2	0.2	0.3	0.3	0.4	1	1.8	2	2.2	3	3.4	3.6	3.8	4	3.56	2016	4	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	144	80.70489654	7.614693343	LKA	Sri Lanka	1	PER_100_POP	Per 100 population	0.6	0.8	1.1	1.5	1.4	1.8	2.5	3.9	5.8	8.8	12	15	18.3	21.9	25.8	30	32.1	25.62	2016	32.1	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	148	18.66618401	15.36279341	TCD	Chad	1	PER_100_POP	Per 100 population	0	0	0.2	0.3	0.4	0.4	0.6	0.8	1.2	1.5	1.7	1.9	2.1	2.5	2.9	3.5	5	3.2	2016	5	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	152	-71.23029019	-35.2652885	CHL	Chile	1	PER_100_POP	Per 100 population	16.6	19.1	22.1	25.5	28.2	31.2	34.5	35.9	37.3	41.6	45	52.2	55.1	58	61.1	64.3	66	60.9	2016	66	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	156	104.1403375	32.30955217	CHN	China	1	PER_100_POP	Per 100 population	1.8	2.6	4.6	6.2	7.3	8.5	10.5	16	22.6	28.9	34.3	38.3	42.3	45.8	47.9	50.3	53.2	47.9	2016	53.2	CNNIC.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	162	105.6426067	-10.4882473	CXR	Christmas Island	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	170	-73.07446751	3.888209046	COL	Colombia	1	PER_100_POP	Per 100 population	2.2	2.9	4.6	7.4	9.1	11	15.3	21.8	25.6	30	36.5	40.4	49	51.7	52.6	55.9	58.1	53.46	2016	58.1	Departamento Administrativo Nacional de Estadistica (DANE).	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	174	43.34234565	-11.66121732	COM	Comoros	1	PER_100_POP	Per 100 population	0.3	0.4	0.6	0.8	1.3	2	2.2	2.5	3	3.5	5.1	5.5	6	6.5	7	7.5	7.9	6.98	2016	7.9	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	175	45.14015057	-12.82217691	MYT	Mayotte	1	PER_100_POP	Per 100 population	1.2																		2000	1.2	NULL	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	178	15.22052612	-0.840544119	COG	Congo	1	PER_100_POP	Per 100 population	0	0	0.2	0.5	1.1	1.5	2	2.8	4.3	4.5	5	5.6	6.1	6.6	7.1	7.6	8.1	7.1	2016	8.1	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	PER_100_POP	Per 100 population	0	0	0.1	0.1	0.2	0.2	0.3	0.4	0.4	0.6	0.7	1.2	1.7	2.2	3	3.8	6.2	3.38	2016	6.2	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	184	-159.7711391	-21.22696458	COK	Cook Islands	1	PER_100_POP	Per 100 population	15.7	18.1	20	22.9	24	26.2	25.9	25.6	25.4	30.3	35.7	39	42	45	48	51	54	48	2016	54	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	188	-84.19712782	9.970998683	CRI	Costa Rica	1	PER_100_POP	Per 100 population	5.8	9.6	19.9	20.3	20.8	22.1	25.1	28.4	32.3	34.3	36.5	39.2	47.5	46	53	59.8	66	54.46	2016	66	Instituto Nacional de Estadística y Censos.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	191	17.95874553	45.45172212	HRV	Croatia	1	PER_100_POP	Per 100 population	6.6	11.6	17.8	22.8	30.9	33.1	38	41.4	44.2	50.6	56.6	57.8	61.9	66.7	68.6	69.8	72.7	67.94	2016	72.7	Eurostat.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	192	-79.54460144	22.10030366	CUB	Cuba	1	PER_100_POP	Per 100 population	0.5	1.1	3.8	5.2	8.4	9.7	11.2	11.7	12.9	14.3	15.9	16	21.2	27.9	29.1	37.3	38.8	30.86	2016	38.8	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	196	33.22285964	35.05659437	CYP	Cyprus	1	PER_100_POP	Per 100 population	15.3	18.8	28.3	30.1	33.8	32.8	35.8	40.8	42.3	49.8	53	56.9	60.7	65.5	69.3	71.7	75.9	68.62	2016	75.9	Statistical Service of Cyprus.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	203	15.33151382	49.73913871	CZE	Czechia	1	PER_100_POP	Per 100 population	9.8	14.7	23.9	34.3	35.5	35.3	47.9	51.9	63	64.4	68.8	70.5	73.4	74.1	74.2	75.7	76.5	74.78	2016	76.5	Czech Statistical Office.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	204	2.339933594	9.65401646	BEN	Benin	1	PER_100_POP	Per 100 population	0.2	0.4	0.7	1	1.2	1.3	1.5	1.8	1.9	2.2	3.1	4.1	4.5	4.9	6	11.3	12	7.74	2016	12	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	208	9.326571283	56.03829721	DNK	Denmark	1	PER_100_POP	Per 100 population	39.2	43	64.3	76.3	80.9	82.7	86.7	85	85	86.8	88.7	89.8	92.3	94.6	96	96.3	97	95.24	2016	97	Statistics Denmark.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	212	-61.3493756	15.43391378	DMA	Dominica	1	PER_100_POP	Per 100 population	8.8	13.2	18.4	23.6	30.3	38.5	39.4	40.3	41.2	42	47.5	48.6	49.8	51	57.5	65	67	58.06	2016	67	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	PER_100_POP	Per 100 population	3.7	4.4	6.8	7.9	8.9	11.5	14.8	17.7	20.8	27.7	31.4	38	42.3	45.9	49.6	54.2	61.3	50.66	2016	61.3	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	218	-78.37005241	-1.447785891	ECU	Ecuador	1	PER_100_POP	Per 100 population	1.5	2.7	4.3	4.5	4.8	6	7.2	10.8	18.8	24.6	29	31.4	35.1	40.3	45.6	48.9	54.1	44.8	2016	54.1	Instituto Nacional de Estadistica y Censos.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	222	-88.86862995	13.73603564	SLV	El Salvador	1	PER_100_POP	Per 100 population	1.2	1.5	1.9	2.5	3.2	4.2	5.5	6.1	10.1	12.1	15.9	18.9	20.3	23.1	24.8	26.8	29	24.8	2016	29	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	PER_100_POP	Per 100 population	0.1	0.2	0.3	0.5	0.8	1.1	1.3	1.6	1.8	2.1	6	11.5	13.9	16.4	18.9	21.3	23.8	18.86	2016	23.8	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	231	39.63505296	8.631223181	ETH	Ethiopia	1	PER_100_POP	Per 100 population	0	0	0.1	0.1	0.2	0.2	0.3	0.4	0.5	0.5	0.8	1.1	2.9	4.6	7.7	13.9	15.4	8.9	2016	15.4	Ministry of Communications and Information Technology.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	232	38.11074289	16.12894644	ERI	Eritrea	1	PER_100_POP	Per 100 population	0.1	0.2	0.2					0.4	0.5	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1	2016	1.2	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	233	25.84093481	58.68487172	EST	Estonia	1	PER_100_POP	Per 100 population	28.6	31.5	41.5	45.3	53.2	61.5	63.5	66.2	70.6	72.5	74.1	76.5	78.4	80	84.2	88.4	87.2	83.64	2016	87.2	Statistical Office of Estonia.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	PER_100_POP	Per 100 population	32.9	43.2	53.3	58.9	66.5	67.9	69.4	76	75.6	75.2	75.2	80.7	85.3	90	93.3	94.2	95.1	91.58	2016	95.1	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	PER_100_POP	Per 100 population	58.6	64.6	64.1	64	67.3	84	87.1	90.1	93	95.8	95.8	96.4	96.9	96.9	97.6	98.3	99	97.74	2016	99	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	242	177.9660884	-17.83301566	FJI	Fiji	1	PER_100_POP	Per 100 population	1.5	1.9	6.2	6.7	7.4	8.5	9.6	10.9	13	17	20	28	33.7	35.2	37.4	42.5	46.5	39.06	2016	46.5	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	246	23.308447	61.91586738	FIN	Finland	1	PER_100_POP	Per 100 population	37.2	43.1	62.4	69.2	72.4	74.5	79.7	80.8	83.7	82.5	86.9	88.7	89.9	91.5	86.5	86.4	87.7	88.4	2016	87.7	Statistics Finland.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	248	19.80945969	60.1544901	ALA	Åland Islands	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	250	2.457288129	46.62660861	FRA	France	1	PER_100_POP	Per 100 population	14.3	26.3	30.2	36.1	39.2	42.9	46.9	66.1	70.7	71.6	77.3	77.8	81.4	81.9	83.8	84.7	85.6	83.48	2016	85.6	Eurostat.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	254	-53.23619089	3.922673437	GUF	French Guiana	1	PER_100_POP	Per 100 population	9.7	11.6	13.9	16.6	19.5	20.8	22.1	23.3	24.5	25.7									2009	25.7	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	PER_100_POP	Per 100 population	6.4	6.3	8.2	14.1	17.9	21.5	25.1	28.6	33.9	44.6	49	49	52.9	56.8	60.7	64.6	68.4	60.68	2016	68.4	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	PER_100_POP	Per 100 population																						
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	262	42.18274707	11.56004161	DJI	Djibouti	1	PER_100_POP	Per 100 population	0.2	0.3	0.5	0.6	0.8	1	1.3	1.6	2.3	4	6.5	7	8.3	9.5	10.7	11.9	13.1	10.7	2016	13.1	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	266	11.78727747	-0.60687619	GAB	Gabon	1	PER_100_POP	Per 100 population	1.2	1.3	1.9	2.7	3	4.9	5.5	5.8	7.5	9.5	13	18	24	30.5	38.1	45.8	48.1	37.3	2016	48.1	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	268	43.3713615	42.04813028	GEO	Georgia	1	PER_100_POP	Per 100 population	0.5	1	1.6	2.6	3.9	6.1	7.5	8.3	10	20.1	26.9	31.5	36.9	43.3	44	47.6	58	45.96	2016	58	National Statistics Office of Georgia (Geostat).	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	270	-15.39944785	13.45295927	GMB	Gambia	1	PER_100_POP	Per 100 population	0.9	1.3	1.8	2.4	3.3	3.8	5.2	6.2	6.9	7.6	9.2	10.9	12.4	14	15.6	16.5	18.5	15.4	2016	18.5	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	275	35.25694122	31.94347933	PSE	State of Palestine	1	PER_100_POP	Per 100 population	1.1	1.8	3.1	4.1	4.4	16	18.4	21.2	24.4	32.2	37.4	41.1	43.4	46.6	53.7	57.4	61.2	52.46	2016	61.2	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	276	10.3806066	51.08862743	DEU	Germany	1	PER_100_POP	Per 100 population	30.2	31.7	48.8	55.9	64.7	68.7	72.2	75.2	78	79	82	81.3	82.3	84.2	86.2	87.6	89.6	85.98	2016	89.6	Eurostat.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	288	-1.205623522	7.964825185	GHA	Ghana	1	PER_100_POP	Per 100 population	0.2	0.2	0.8	1.2	1.7	1.8	2.7	3.9	4.3	5.4	7.8	9	10.6	15	25.5	31.4	34.7	23.44	2016	34.7	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	292	-5.347561686	36.13895036	GIB	Gibraltar	1	PER_100_POP	Per 100 population	19.1	21.2	23.7	28.3	32.9	39.1	45.3	51.6	58	65.1	65	65	65				94.4	79.7	2016	94.4	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	296	-157.5643005	1.768837732	KIR	Kiribati	1	PER_100_POP	Per 100 population	1.8	2.3	2.5	3	3.5	4	4.5	6	7	9	9.1	10	10.7	11.5	12.3	13	13.7	12.24	2016	13.7	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	300	22.58307827	39.47301873	GRC	Greece	1	PER_100_POP	Per 100 population	9.1	10.9	14.7	17.8	21.4	24	32.3	35.9	38.2	42.4	44.4	51.6	55.1	59.9	63.2	66.8	69.1	62.82	2016	69.1	Hellenic Statistical Authority.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	304	-41.39371316	74.75625681	GRL	Greenland	1	PER_100_POP	Per 100 population	31.7	35.5	44.2	54.5	56.1	57.7	59.4	61.1	62.8	62.8	63	64	64.9	65.8	66.7	67.6	68.5	66.7	2016	68.5	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	308	-61.68248568	12.11238395	GRD	Grenada	1	PER_100_POP	Per 100 population	4.1	5.1	14.8	18.6	19.6	20.5	21.4	22.3	23.2	24.1	27	30	32	35	51.6	53.8	55.9	45.66	2016	55.9	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	PER_100_POP	Per 100 population	5.8	9.2	11.4	14.1	17.5	18.7	19.8	21	22.2	23.4									2009	23.4	ITU estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	316	144.7029305	13.35485404	GUM	Guam	1	PER_100_POP	Per 100 population	16.1	25.4	31.2	33.7	36.2	38.6	43.9	46.2	48.4	50.6	54	57.7	61.5	65.4	69.3	73.1	77	69.26	2016	77	ITU Estimate.	
2018.Q2.G.01	IT_USE_ii99	Internet users per 100 inhabitants	320	-91.2312746	15.00273719	GTM	Guatemala	1	PER_100_POP	Per 100 population	0.7	1.7	3.4	4.5	5.1	5.7	6.5	7.3	8.3	9.3	10.5	12.3	16	19.7	23.4	28.8	34.5	24.48	2016	34.5	ITU Estimate.	
