series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Mode of transportation	Units	Mode of transportation description	Units description	2016	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	56	4.660976456	50.64104975	BEL	Belgium	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	56	4.660976456	50.64104975	BEL	Belgium	2	ROA	P_KM	road transport	passenger kilometres	137178696687.03	2016	137178696687.03	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	56	4.660976456	50.64104975	BEL	Belgium	3	RAI	P_KM	rail transport	passenger kilometres	1.0025e+10	2016	1.0025e+10	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	60	-64.78155012	32.27881922	BMU	Bermuda	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	60	-64.78155012	32.27881922	BMU	Bermuda	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	60	-64.78155012	32.27881922	BMU	Bermuda	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	64	90.45098484	27.39598568	BTN	Bhutan	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	64	90.45098484	27.39598568	BTN	Bhutan	2	ROA	P_KM	road transport	passenger kilometres	1999255281.96	2016	1999255281.96	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	64	90.45098484	27.39598568	BTN	Bhutan	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	ROA	P_KM	road transport	passenger kilometres	21019565234.3	2016	21019565234.3	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	3	RAI	P_KM	rail transport	passenger kilometres	307278885	2016	307278885	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	ROA	P_KM	road transport	passenger kilometres	11401925127.03	2016	11401925127.03	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	3	RAI	P_KM	rail transport	passenger kilometres	42927358	2016	42927358	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	72	23.81380223	-22.18810073	BWA	Botswana	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	72	23.81380223	-22.18810073	BWA	Botswana	2	ROA	P_KM	road transport	passenger kilometres	30959954032.07	2016	30959954032.07	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	72	23.81380223	-22.18810073	BWA	Botswana	3	RAI	P_KM	rail transport	passenger kilometres	264055285	2016	264055285	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	76	-53.08432878	-10.77668561	BRA	Brazil	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	76	-53.08432878	-10.77668561	BRA	Brazil	2	ROA	P_KM	road transport	passenger kilometres	1457416239475.8	2016	1457416239475.8	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	76	-53.08432878	-10.77668561	BRA	Brazil	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	84	-88.70199554	17.19965901	BLZ	Belize	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	84	-88.70199554	17.19965901	BLZ	Belize	2	ROA	P_KM	road transport	passenger kilometres	1869514689.08	2016	1869514689.08	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	84	-88.70199554	17.19965901	BLZ	Belize	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	ROA	P_KM	road transport	passenger kilometres	265973704.25	2016	265973704.25	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	ROA	P_KM	road transport	passenger kilometres	12133003698.17	2016	12133003698.17	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	25.23763153	42.75731323	BGR	Bulgaria	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	25.23763153	42.75731323	BGR	Bulgaria	2	ROA	P_KM	road transport	passenger kilometres	52007081781.66	2016	52007081781.66	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	25.23763153	42.75731323	BGR	Bulgaria	3	RAI	P_KM	rail transport	passenger kilometres	1.458e+09	2016	1.458e+09	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	96.51752295	21.19332882	MMR	Myanmar	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	96.51752295	21.19332882	MMR	Myanmar	2	ROA	P_KM	road transport	passenger kilometres	17683167192.07	2016	17683167192.07	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	96.51752295	21.19332882	MMR	Myanmar	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	29.89080992	-3.366387428	BDI	Burundi	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	29.89080992	-3.366387428	BDI	Burundi	2	ROA	P_KM	road transport	passenger kilometres	2006912893.52	2016	2006912893.52	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	29.89080992	-3.366387428	BDI	Burundi	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	28.04940161	53.54193075	BLR	Belarus	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	28.04940161	53.54193075	BLR	Belarus	2	ROA	P_KM	road transport	passenger kilometres	78836907121.33	2016	78836907121.33	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	28.04940161	53.54193075	BLR	Belarus	3	RAI	P_KM	rail transport	passenger kilometres	9469854342	2016	9469854342	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	104.922836	12.71163737	KHM	Cambodia	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	104.922836	12.71163737	KHM	Cambodia	2	ROA	P_KM	road transport	passenger kilometres	6460061784.26	2016	6460061784.26	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	104.922836	12.71163737	KHM	Cambodia	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	12.7419827	5.692387031	CMR	Cameroon	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	12.7419827	5.692387031	CMR	Cameroon	2	ROA	P_KM	road transport	passenger kilometres	16620630017.7	2016	16620630017.7	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	12.7419827	5.692387031	CMR	Cameroon	3	RAI	P_KM	rail transport	passenger kilometres	506700724	2016	506700724	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	-101.6575058	57.72360191	CAN	Canada	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	-101.6575058	57.72360191	CAN	Canada	2	ROA	P_KM	road transport	passenger kilometres	320118062790.88	2016	320118062790.88	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	-101.6575058	57.72360191	CAN	Canada	3	RAI	P_KM	rail transport	passenger kilometres	1.381e+09	2016	1.381e+09	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	-23.63544151	15.07791834	CPV	Cabo Verde	2	ROA	P_KM	road transport	passenger kilometres	717767981.44	2016	717767981.44	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	-23.63544151	15.07791834	CPV	Cabo Verde	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	-81.16740559	19.32266656	CYM	Cayman Islands	2	ROA	P_KM	road transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	-81.16740559	19.32266656	CYM	Cayman Islands	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	20.93559492	7.003720791	CAF	Central African Republic	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	20.93559492	7.003720791	CAF	Central African Republic	2	ROA	P_KM	road transport	passenger kilometres	1177217645.19	2016	1177217645.19	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	20.93559492	7.003720791	CAF	Central African Republic	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	80.70489654	7.614693343	LKA	Sri Lanka	1	AIR	P_KM	air transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	80.70489654	7.614693343	LKA	Sri Lanka	2	ROA	P_KM	road transport	passenger kilometres	43843786312.37	2016	43843786312.37	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	80.70489654	7.614693343	LKA	Sri Lanka	3	RAI	P_KM	rail transport	passenger kilometres					
2018.Q2.G.01	IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	148	18.66618401	15.36279341	TCD	Chad	1	AIR	P_KM	air transport	passenger kilometres					
