"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source"
"36","Australia","AUS","134.3499412","-25.57717202","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.39","6.70","6.55","6.29","6.14","6.00","6.06","6.04","6.04","5.95","5.86","5.76","5.49","5.34","5.15","5.03",2015.0,"5.03","Estimated data","Source: World Energy Balances, IEA (2017)"
"40","Austria","AUT","14.14172472","47.58704857","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.85","4.02","3.98","4.17","4.12","4.15","4.02","3.83","3.80","3.74","3.92","3.71","3.66","3.72","3.56","3.61",2015.0,"3.61","Estimated data","Source: World Energy Balances, IEA (2017)"
"44","Bahamas","BHS","-78.05111663","24.69546597","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.51","3.30","3.32","3.45","3.43","3.17","3.01","3.02","4.00","2.91","4.18","3.15","3.25","4.82","3.98","4.03",2015.0,"4.03","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"48","Bahrain","BHR","50.5490754","26.04407747","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","11.03","11.05","11.07","10.96","10.38","11.22","11.45","10.62","11.17","10.48","10.44","10.08","9.78","10.23","9.92","9.79",2015.0,"9.79","Estimated data","Source: World Energy Balances, IEA (2017)"
"50","Bangladesh","BGD","89.17660788","22.86961622","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.54","3.68","3.63","3.65","3.54","3.45","3.46","3.38","3.35","3.35","3.44","3.35","3.30","3.18","3.13","3.14",2015.0,"3.14","Estimated data","Source: World Energy Balances, IEA (2017)"
"51","Armenia","ARM","44.93839317","40.29499741","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","9.40","8.54","7.06","6.53","6.25","6.59","5.93","5.81","5.72","5.79","5.39","5.63","5.75","5.43","5.35","5.38",2015.0,"5.38","Estimated data","Source: World Energy Balances, IEA (2017)"
"52","Barbados","BRB","-59.5346489","13.13648273","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","4.21","4.37","4.25","4.21","4.27","4.27","4.12","4.05","4.82","5.07","4.68","4.66","4.54","4.46","3.81","3.78",2015.0,"3.78","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"56","Belgium","BEL","4.660976456","50.64104975","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.37","6.30","5.95","6.15","5.96","5.83","5.64","5.36","5.47","5.37","5.62","5.17","4.94","5.13","4.78","4.74",2015.0,"4.74","Estimated data","Source: World Energy Balances, IEA (2017)"
"60","Bermuda","BMU","-64.78155012","32.27881922","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","2.29","2.17","2.30","2.24","2.26","2.22","2.36","2.74","2.38","1.91","2.41","1.87","1.68","2.28","2.38","2.03",2015.0,"2.03","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"64","Bhutan","BTN","90.45098484","27.39598568","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","21.79","20.48","18.98","17.79","16.83","16.21","15.51","13.74","13.64","13.20","12.55","11.84","11.64","11.72","11.24","10.41",2015.0,"10.41","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","5.58","4.27","5.00","5.06","4.86","5.08","6.06","4.72","4.73","4.68","4.92","4.96","5.40","5.15","5.17","4.95",2015.0,"4.95","Estimated data","Source: World Energy Balances, IEA (2017)"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","7.64","7.07","7.04","6.76","6.96","6.71","6.70","6.34","6.75","7.25","7.50","8.20","7.74","7.30","8.75","8.72",2015.0,"8.72","Estimated data","Source: World Energy Balances, IEA (2017)"
"72","Botswana","BWA","23.81380223","-22.18810073","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","4.18","4.22","4.04","3.85","3.68","3.64","3.47","3.31","3.30","3.33","3.36","3.04","3.30","3.14","3.30","3.35",2015.0,"3.35","Estimated data","Source: World Energy Balances, IEA (2017)"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.94","3.95","3.94","3.96","3.95","3.92","3.90","3.89","3.91","3.78","3.89","3.80","3.89","3.94","4.04","4.13",2015.0,"4.13","Estimated data","Source: World Energy Balances, IEA (2017)"
"84","Belize","BLZ","-88.70199554","17.19965901","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.36","6.38","5.96","5.33","5.08","4.88","5.12","5.05","4.59","5.36","5.06","5.45","4.69","4.67","4.58","5.11",2015.0,"5.11","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","7.67","8.40","8.64","8.24","7.86","7.45","7.02","6.69","6.23","6.54","6.25","5.49","5.27","5.25","5.21","5.02",2015.0,"5.02","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.65","3.29","3.10","3.49","3.19","3.07","4.17","4.27","4.77","4.17","4.33","4.99","4.89","3.97","4.75","3.65",2015.0,"3.65","Estimated data","Source: World Energy Balances, IEA (2017)"
"100","Bulgaria","BGR","25.23763153","42.75731323","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","10.64","10.64","9.78","9.54","8.71","8.58","8.26","7.54","7.05","6.49","6.62","6.99","6.67","6.10","6.36","6.38",2015.0,"6.38","Estimated data","Source: World Energy Balances, IEA (2017)"
"104","Myanmar","MMR","96.51752295","21.19332882","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","8.93","7.83","7.23","6.88","6.37","5.60","5.00","4.62","4.01","3.42","3.03","2.92","2.97","2.92","3.13","3.12",2015.0,"3.12","Estimated data","Source: World Energy Balances, IEA (2017)"
"108","Burundi","BDI","29.89080992","-3.366387428","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","11.34","15.60","15.19","15.49","15.11","15.12","14.65","14.24","13.80","13.51","13.30","13.05","7.93","7.96","7.50","7.72",2015.0,"7.72","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"112","Belarus","BLR","28.04940161","53.54193075","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","13.63","13.07","12.69","12.20","11.32","10.34","10.00","9.02","8.20","7.77","7.48","7.55","7.72","6.83","6.83","6.47",2015.0,"6.47","Estimated data","Source: World Energy Balances, IEA (2017)"
"116","Cambodia","KHM","104.922836","12.71163737","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","8.54","7.94","8.68","8.24","6.15","5.50","4.95","4.56","4.24","6.25","6.18","6.00","5.84","5.62","5.59","5.77",2015.0,"5.77","Estimated data","Source: World Energy Balances, IEA (2017)"
"120","Cameroon","CMR","12.7419827","5.692387031","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.90","6.68","6.78","6.78","6.74","6.63","5.94","5.42","5.32","5.64","5.50","5.26","5.10","4.59","4.86","4.78",2015.0,"4.78","Estimated data","Source: World Energy Balances, IEA (2017)"
"124","Canada","CAN","-101.6575058","57.72360191","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","9.22","8.93","8.69","8.99","8.94","8.72","8.63","8.51","8.25","8.19","8.02","7.94","7.72","7.62","7.65","7.34",2015.0,"7.34","Estimated data","Source: World Energy Balances, IEA (2017)"
"132","Cabo Verde","CPV","-23.63544151","15.07791834","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","2.67","2.84","2.99","3.10","3.03","3.53","3.48","3.23","2.85","3.15","3.16","3.34","2.84","2.81","2.76","2.77",2015.0,"2.77","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"136","Cayman Islands","CYM","-81.16740559","19.32266656","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","","","","","","","","","","","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","7.28","6.87","6.63","6.96","6.60","6.55","6.33","6.06","5.95","5.85","5.71","5.59","5.40","8.50","8.47","8.10",2015.0,"8.10","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"144","Sri Lanka","LKA","80.70489654","7.614693343","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","3.35","3.29","3.22","3.22","3.09","2.98","2.79","2.67","2.48","2.37","2.37","2.34","2.31","1.99","2.03","2.06",2015.0,"2.06","Estimated data","Source: World Energy Balances, IEA (2017)"
"148","Chad","TCD","18.66618401","15.36279341","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","6.89","6.28","5.89","5.49","4.18","3.65","3.68","3.66","3.64","3.54","3.18","3.23","3.01","2.93","2.79","2.78",2015.0,"2.78","Estimated data","Source: Energy Balances, UN Statistics Division (2017)"
"152","Chile","CHL","-71.23029019","-35.2652885","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","4.82","4.58","4.60","4.46","4.44","4.32","4.23","4.19","4.00","3.96","3.91","4.01","4.22","4.22","3.77","3.78",2015.0,"3.78","Estimated data","Source: World Energy Balances, IEA (2017)"
"156","China","CHN","104.1403375","32.30955217","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.3","By 2030, double the global rate of improvement in energy efficiency","7.3.1","Energy intensity measured in terms of primary energy and GDP","1","EG_EGY_PRIM","Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)","2019.Q1.G.01","MJ_PER_GDP_CON_PPP_USD","Megajoules per USD constant 2011 PPP GDP","G","Global","10.12","9.66","9.44","9.78","10.10","10.00","9.71","9.15","8.57","8.35","8.33","8.16","7.84","7.51","7.10","6.69",2015.0,"6.69","Estimated data","Source: World Energy Balances, IEA (2017)"
