"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000","Value_2005","Value_2010","Value_2015","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"36","Australia","AUS","134.3499412","-25.57717202","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"40","Austria","AUT","14.14172472","47.58704857","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","156.07","160.22","162.69","165.16",2015.0,"165.16","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"44","Bahamas","BHS","-78.05111663","24.69546597","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","98.77","98.97","118.59","123.86",2015.0,"123.86","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"51","Armenia","ARM","44.93839317","40.29499741","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","81.38","80.72","80.06","80.72",2015.0,"80.72","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"52","Barbados","BRB","-59.5346489","13.13648273","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"56","Belgium","BEL","4.660976456","50.64104975","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","148.48","158.71","166.63","175.61",2015.0,"175.61","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"60","Bermuda","BMU","-64.78155012","32.27881922","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","165.43","165.87","165.05","165.09",2015.0,"165.09","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","133.25","133.26","135.6","135.6",2015.0,"135.6","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","87.03","87.03","87.03","87.03",2015.0,"87.03","Estimated data","FAO, Global Forest Resources Assessment","FAO Estimate"
"72","Botswana","BWA","23.81380223","-22.18810073","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","72.12","74.77","77.61","80.07",2015.0,"80.07","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","193.67","194.49","195.5","196.18",2015.0,"196.18","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"84","Belize","BLZ","-88.70199554","17.19965901","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","215.17","214.61","211.3","211.52",2015.0,"211.52","Estimated data","FAO, Global Forest Resources Assessment","FAO Estimate"
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","141.01","141.01","140.99","140.73",2015.0,"140.73","Estimated data","FAO, Global Forest Resources Assessment","FAO Estimate"
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","329.37","325.96","323.26","323.68",2015.0,"323.68","Estimated data","FAO, Global Forest Resources Assessment","FAO Estimate"
"100","Bulgaria","BGR","25.23763153","42.75731323","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","79.7","82.99","88.04","92.86",2015.0,"92.86","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"104","Myanmar","MMR","96.51752295","21.19332882","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","92.26","92.25","92.25","94.72",2015.0,"94.72","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"108","Burundi","BDI","29.89080992","-3.366387428","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","159.9","166.57","167","166.78",2015.0,"166.78","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"112","Belarus","BLR","28.04940161","53.54193075","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","95.08","104.54","116.78","122.01",2015.0,"122.01","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"116","Cambodia","KHM","104.922836","12.71163737","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","63.4","63","62.71","62.39",2015.0,"62.39","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"120","Cameroon","CMR","12.7419827","5.692387031","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","232.28","232.25","232.28","232.3",2015.0,"232.3","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"124","Canada","CAN","-101.6575058","57.72360191","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"132","Cabo Verde","CPV","-23.63544151","15.07791834","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","95.02","94.51","95.19","95.44",2015.0,"95.44","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"136","Cayman Islands","CYM","-81.16740559","19.32266656","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","221.97","221.31","220.65","219.98",2015.0,"219.98","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"144","Sri Lanka","LKA","80.70489654","7.614693343","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","64.61","62.98","62.44","61.76",2015.0,"61.76","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"148","Chad","TCD","18.66618401","15.36279341","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","91.53","91.52","91.5","91.49",2015.0,"91.49","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"152","Chile","CHL","-71.23029019","-35.2652885","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","139.83","139.04","138.47","140.25",2015.0,"140.25","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"156","China","CHN","104.1403375","32.30955217","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","48.61","48.51","51.12","52.54",2015.0,"52.54","Country data","FAO, Global Forest Resources Assessment","Official country data submitted to FAO"
"162","Christmas Island","CXR","105.6426067","-10.4882473","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","","","","","","","","",""
