series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	33.73	26.67	19.37	16.04	14.35	15.78	13.6	11.86	10.28	10.7	10.3	9.41	10.01	8.09	6.83	6.86	5.01	6.38	4.8	5.43	4.56	5.34	5.18	5.21	4.91	3.56	3.09	4.39	2016	3.09	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage				1.12	1.94	3.15	9.52	4.92	12.89	12.66	8.67	8.19	7.94	8.25	6.5	3.31	2.76	1.9	1.78	2.94	2.74	2.67	5.93	19.52	5.85	9.63	5.38	9.262	2016	5.38	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	60	-64.78155012	32.27881922	BMU	Bermuda	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	64	90.45098484	27.39598568	BTN	Bhutan	1	PERCENT	Percentage																	2.53	4.7	11.85	12.68	14.41	11.19	16.94	11.01	11.79	17.37	11.43	13.708	2016	11.43	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	PERCENT	Percentage	34.17	29.74	34.34	34.38	25.74	25.77	25.63	23.78	25.96	18.55	18.2	16.39	14.39	14.18	10.9	9.76	6.89	5.37	6.44	4.75	4.35	2.49	3.56	2.22	2.61	5.07	5.57	3.806	2016	5.57	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	PERCENT	Percentage										8.04	12.67	11.98	5.94	5.22	4.12	3.58	3.34	3.15	2.71	3.29	3.63	3.69	4.45	7.05	7.63	7.46	6.67	6.652	2016	6.67	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	72	23.81380223	-22.18810073	BWA	Botswana	1	PERCENT	Percentage	4.34	3.44	3.9	3.61	4	3.14	5.23	2.79	2.58	2.14	2	1.69	1.93	1.21	1.02	0.91	0.94	0.72	1.16	1.01	1.3	0.93	0.67	1.96	0.56	1.98	1.81	1.396	2016	1.81	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	76	-53.08432878	-10.77668561	BRA	Brazil	1	PERCENT	Percentage	18.6	16.64	14.73	13.07	17.23	23.65	22.6	20.71	27.32	41.83	37.01	22.92	37.39	39.5	23.49	30.17	19.54	10.82	9.3	7.1	5.93	6.75	4.04	7.17	5.34	12.11	10.52	7.836	2016	10.52	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	84	-88.70199554	17.19965901	BLZ	Belize	1	PERCENT	Percentage	7.01	6.2	5.43	5.99	8.52	11.74	12.18	10.28	12.03	10.91	17.14	21.81	38.68	29.07	61.51	36.84	17.58	78.94	11.59	13.1	11.56	9.34	9.27	10.79	6.88	7.39	8.6	8.586	2016	8.6	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	PERCENT	Percentage	11.34	10.29	4.84	5.66	4.2	1.28	2.14	0.46	3.26	2.55	2.8	1.79	2.84	5.6	3.8	4.81	2.35	4.94	5.4	3.52	3.1	1.46	1.24	1.29	1.53	1.62	1.92	1.52	2016	1.92	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	25.23763153	42.75731323	BGR	Bulgaria	1	PERCENT	Percentage	18.62	5.4	8.17	6.19	12.73	16.12	18.45	18.34	16.91	13.94	13.05	15.13	10.41	7.1	10.38	14.69	5.49	3.97	3.24	2.52	1.71	1.28	1.27	5.08	1.09	1.18	1.48	2.02	2016	1.48	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	104	96.51752295	21.19332882	MMR	Myanmar	1	PERCENT	Percentage	18.25	26.96	8.01	12.94	14.41	19.11	11.59	7.71	5.15	4.88	0.44	0.2	0.24	0.19	0.15	0.13	0.12	0.14	0.09	0.1	0.05	0.02	9.68	0.54	0.46	0.4	0.61	2.338	2016	0.61	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	108	29.89080992	-3.366387428	BDI	Burundi	1	PERCENT	Percentage	41.68	29.57	35.34	35.47	38.98	27.27	53.35	30.17	41.3	46.17	34.83	46.41	54.57	62.12	134.71	40.41	20.36	18.46	11.86	16.48	2.32	4.21	8.87	13.56	12.97	13.44	31.72	16.112	2016	31.72	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	112	28.04940161	53.54193075	BLR	Belarus	1	PERCENT	Percentage				0.64	4.15	3.36	1.6	1.7	1.92	3.38	3.62	2.98	2.33	1.92	1.62	1.36	1.09	1.18	1	2.37	2.21	3.95	7.42	7.49	9.19	11.11	10.28	9.098	2016	10.28	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	116	104.922836	12.71163737	KHM	Cambodia	1	PERCENT	Percentage			3.83	9.59	0.15	0.67	0.91	0.87	0.95	1.14	0.66	0.86	0.84	0.95	0.8	0.73	0.57	0.57	0.75	0.94	1	0.92	1	1.19	1.18	1.09	1.39	1.17	2016	1.39	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	120	12.7419827	5.692387031	CMR	Cameroon	1	PERCENT	Percentage	13	12.33	11.22	18.57	16.78	17.23	18.43	17.27	17.96	16.58	14.29	7.17	8.88	9.8	12.74	14.36	5.54	3.96	2.66	2.6	2.62	2.5	1.55	1.05	4.51	4.94		3.0125	2015	4.94	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	124	-101.6575058	57.72360191	CAN	Canada	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	PERCENT	Percentage	8.89	14.52	18.59	12.08	14.03	10.28	7.45	10.46	16.87	15.88	11.44	8.17	11.86	7.26	7.93	9.58	6.43	4.97	4.25	5.69	5.56	4.95	4.57	4.63	4.77	6.21	5.79	5.194	2016	5.79	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	140	20.93559492	7.003720791	CAF	Central African Republic	1	PERCENT	Percentage	12.49	7.42	8.18	3.78	11.82																								1994	11.82	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	PERCENT	Percentage	14.82	15.13	14.56	11.16	9.63	8.78	8.67	8.29	8.78	11.72	10.85	9.63	9.43	7.79	8.96	4.56	9.75	7.59	10.58	13.3	10.72	7.83	13.32	11.93	24.24	17.38	16.53	16.68	2016	16.53	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	148	18.66618401	15.36279341	TCD	Chad	1	PERCENT	Percentage	3.71	3.64	3.62	6.21	7.83																								1994	7.83	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	152	-71.23029019	-35.2652885	CHL	Chile	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	156	104.1403375	32.30955217	CHN	China	1	PERCENT	Percentage	10.61	10.85	9.38	10.24	8.13	8.98	8.32	11.5	8.71	9.18	7.1	6.09	5.09	3.03	1.27	1.09	0.85	0.64	0.58	0.63	0.79	0.65	0.44	0.47	0.53	1.33	0.67	0.688	2016	0.67	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	170	-73.07446751	3.888209046	COL	Colombia	1	PERCENT	Percentage	34.52	32.81	35.65	26.76	29.23	24.56	20.77	18.1	20.28	32.23	20.85	27.71	32.72	34.14	18.36	25.96	18.12	13.22	9.64	9.44	9.35	6.68	6.88	5.89	7.49	9.16	11.97	8.278	2016	11.97	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	174	43.34234565	-11.66121732	COM	Comoros	1	PERCENT	Percentage	2.51	15.67	11.01	3.79	6.5	1.79								4.64	5.41	6.52	5.59	33.84	15.43	14.67	4.74	3.81	12.77	0.43	0.57			4.59	2014	0.57	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	175	45.14015057	-12.82217691	MYT	Mayotte	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	178	15.22052612	-0.840544119	COG	Congo	1	PERCENT	Percentage	31.38	23	11.93	10.81	52.18	10.93	19.72	6.78	1.97	0.38	0.56	3.82	0.99	2.29	5.8	2.25	1.34	1.68											2007	1.68	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	PERCENT	Percentage																7.79	9.04	7.53	7.61	12.35	3.06	2.45	3.05	3.29	3.19	3.66	4.28	3.494	2016	4.28	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	PERCENT	Percentage	22.62	15.82	18.38	15.22	12.28	15.43	13	11.4	8.85	7.63	8.3	9.28	9.03	10.23	7.56	5.19	3.6	3.32	8.71	7.16	4.34	5.85	6.12	8.59	6.76	6.56	5.46	6.698	2016	5.46	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	191	17.95874553	45.45172212	HRV	Croatia	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	192	-79.54460144	22.10030366	CUB	Cuba	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	196	33.22285964	35.05659437	CYP	Cyprus	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	203	15.33151382	49.73913871	CZE	Czechia	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	204	2.339933594	9.65401646	BEN	Benin	1	PERCENT	Percentage	8.91	5.11	4.8	5.2	6.85	7.22	6.13	8.41	9.16	10.23	12.83	8.15	8.5	5.03	4.89	5.8	4.08	2.1	3.42	2.5	2.24	2.4	2.82	3.28	2.6	3.53		3.0575	2015	3.53	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	208	9.326571283	56.03829721	DNK	Denmark	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	212	-61.3493756	15.43391378	DMA	Dominica	1	PERCENT	Percentage	6.47	6.25	5.88	7.39	7.32	5.99	4.9	7.13	6.51	6.26	6.67	13.45	9.71	12.03	11.94	11.81	12.71	12.28	11.22	13.81	9.11	9.04	12.56	11.28	9.13	8.29	9.11	10.074	2016	9.11	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	PERCENT	Percentage	11.06	12.06	16.04	5.99	8.9	9.82	9.86	9.05	7.05	6.39	7.73	9.95	10.1	10.23	10.54	8.54	14.21	13.21	13.51	15.11	10.13	9.78	7.63	9.84	12.92	22.26	12.56	13.042	2016	12.56	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	PERCENT	Percentage	31.23	30.81	24.08	20.93	19.08	29.03	22.57	31.15	33.52	30.85	22.69	24.94	28.23	20.09	23.86	16.4	17.83	12.08	8.2	44	4.91	5.75	6.46	6.64	6.94	14.37	15.06	9.894	2016	15.06	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	222	-88.86862995	13.73603564	SLV	El Salvador	1	PERCENT	Percentage	19.09	25.66	22.73	21.11	20.16	16.3	16.72	10.7	16.22	10.93	10	11.89	13.06	16.66	19.05	15.23	20.45	15.39	14.43	21.74	16.03	16.39	13.39	12.25	12.46	11.79	13.45	12.668	2016	13.45	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	231	39.63505296	8.631223181	ETH	Ethiopia	1	PERCENT	Percentage	37.65	29.03	22.72	17.93	15.22	18.33	41.5	9.86	12.08	16.17	13.63	18.39	7.91	7.16	5.79	4.58	6.06	4.87	3.13	3	3.87	6.01	7.18	10.81	11.9	17.18	20.69	13.552	2016	20.69	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	232	38.11074289	16.12894644	ERI	Eritrea	1	PERCENT	Percentage					0	0.11	0	0.23	2.92	5.3	3.59																		2000	3.59	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	233	25.84093481	58.68487172	EST	Estonia	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	242	177.9660884	-17.83301566	FJI	Fiji	1	PERCENT	Percentage	9.01	9.33	6.95	5.85	6.17	3.73	2.13	1.54	2.21	2.62	2.53	1.8	1.73	1.25	0.77	0.85	0.85	1.57	1.13	1.69	1.2	8.05	1.51	1.74	1.99	2.1	5.64	2.596	2016	5.64	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	246	23.308447	61.91586738	FIN	Finland	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	248	19.80945969	60.1544901	ALA	Åland Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	250	2.457288129	46.62660861	FRA	France	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	254	-53.23619089	3.922673437	GUF	French Guiana	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	262	42.18274707	11.56004161	DJI	Djibouti	1	PERCENT	Percentage		4.69	4.71	3.62	4.67	5.05	5.42	3.13	2.2	4.36	6.1	4.47	4.95	5.64	6.33	4.9	6.9	6.95	7.21	8.02	7.49	8.41	8.29	7.75	6.91	7.14		7.5225	2015	7.14	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	266	11.78727747	-0.60687619	GAB	Gabon	1	PERCENT	Percentage	4.76	10.12	14.43	4.19	8.64	14.74	10.33	12.57	12.93	18.02	9.23	15.83	14.99	10.93	5.59	3.41													2005	3.41	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	268	43.3713615	42.04813028	GEO	Georgia	1	PERCENT	Percentage								6.01	23.26	15.04	12.21	7.24	9.17	10.32	11.84	6.88	8.83	4.38	4.77	6.85	6.29	13.95	7.51	9.35	5.87	8.15	6.94	7.564	2016	6.94	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	270	-15.39944785	13.45295927	GMB	Gambia	1	PERCENT	Percentage	21.79	13.22	12.36	11.14	13.39	15.08	12.06	11.29						14.5	20.53	14.64	14.35	12.98	5.14	6.72	8.41	10.3	9.36	10.83	17.46	14.36	15.08	13.418	2016	15.08	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	275	35.25694122	31.94347933	PSE	State of Palestine	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	276	10.3806066	51.08862743	DEU	Germany	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	288	-1.205623522	7.964825185	GHA	Ghana	1	PERCENT	Percentage	36.45	25.58	25.88	23.2	24.33	23.27	25.07	30.38	20.54	18.93	16.96	11.34	7.26	7.13	7.47	7.93	5.02	3.36	3.74	3.29	3.45	2.2	2.87	5.62	5.05	5.85	10.18	5.914	2016	10.18	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	296	-157.5643005	1.768837732	KIR	Kiribati	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	300	22.58307827	39.47301873	GRC	Greece	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	304	-41.39371316	74.75625681	GRL	Greenland	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	308	-61.68248568	12.11238395	GRD	Grenada	1	PERCENT	Percentage	3.95	3.61	5.94	6.81	6.24	5.8	5.54	4.82	5.71	4.33	5.64	7.97	15.49	16.54	13.54	5.81	8.39	8.27	9.51	12.1	14.21	12.85	7.33	16.62	4.45	4.62	5.13	7.63	2016	5.13	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	316	144.7029305	13.35485404	GUM	Guam	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	320	-91.2312746	15.00273719	GTM	Guatemala	1	PERCENT	Percentage	13.6	17.03	25.6	13.86	11.95	10.8	11.35	9.28	8.23	8.62	7.54	8.25	8.88	9.57	7.62	5.72	5.9	6.59	4.9	5.39	4.91	6.74	4.22	6.61	4.11	4.5	5.09	4.906	2016	5.09	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	324	-11.28173419	11.00210343	GIN	Guinea	1	PERCENT	Percentage	19.69	15.64	12.09	10.65	13.99	24.12	14.5	19.74	18.34	16.06	18.75	12.04	12.54	14.28	20.77	18.79	15.5	12.98	10.58	12.28	6.29	12.8	7.99	4.15	3.49	5.19	2.52	4.668	2016	2.52	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	328	-58.97322037	4.788012784	GUY	Guyana	1	PERCENT	Percentage			18.66	17.19	16.32	16.9	14.26	17.19	18.98	11.31	9.71	6.48	9.36	8.51	6.28	4.84	4.16	3.06	2.55	1.96	2.42	2.75	8.17	2.93	3.62	4		4.68	2015	4	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	332	-72.33640958	18.40426539	HTI	Haiti	1	PERCENT	Percentage	9.87	10.5	3.17	2.66	4.65	53.88	15.08	9.34	8.26	9.25	8.29	5.49	6.31	11.19	19.11	9.35	8.07	10.01	6.14	4.23	12.52	0.38	0.26	0.66	1.32	1.89	5.2	1.866	2016	5.2	World Development Indicators, World Bank	
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	PERCENT	Percentage																																
2018.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	336	12.45315803	41.90343751	VAT	Holy See	1	PERCENT	Percentage																																
