"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2005","Footnotes_2010","Footnotes_2015","Nature_Code_2000","Nature_Code_2005","Nature_Code_2010","Nature_Code_2015","Source_2000","Source_2005","Source_2010","Source_2015","TimeDetail_2000","TimeDetail_2005","TimeDetail_2010","TimeDetail_2015","Value_2000","Value_2005","Value_2010","Value_2015","Latest_Year","Latest_Value"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","7.8","7.9","8.1","8.58",2015.0,"8.58"
"","","","135","Caucasus and Central Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","651.12","669.42","652.09","685.54",2015.0,"685.54"
"","","","14","Eastern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","23710.47","23089.88","22404.44","21836.04",2015.0,"21836.04"
"CAF","20.93559492","7.003720791","140","Central African Republic","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","4973","4941","4909","4877",2015.0,"4877"
"","","","142","Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","55116.229","54344.026","53451.698","52272.695",2015.0,"52272.695"
"","","","143","Central Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","302.49","313.44","288.79","321.94",2015.0,"321.94"
"LKA","80.70489654","7.614693343","144","Sri Lanka","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","141.62","133.39","131.32","127.84",2015.0,"127.84"
"","","","145","Western Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","1361.159","1433.296","1561.648","1706.145",2015.0,"1706.145"
"TCD","18.66618401","15.36279341","148","Chad","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","579","562","504","446",2015.0,"446"
"","","","15","Northern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","4291.642","3970.876","3901.5","3801.184",2015.0,"3801.184"
"","","","150","Europe","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","68028.44","69300.09","71114.13","72858.03",2015.0,"72858.03"
"","","","151","Eastern Europe","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","56362.2","56834.2","57832.7","58911.5",2015.0,"58911.5"
"CHL","-71.23029019","-35.2652885","152","Chile","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","2214","2230.4","2247.5","2487.3",2015.0,"2487.3"
"","","","154","Northern Europe","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","4365.76","4624.93","4841.69","4996.8",2015.0,"4996.8"
"","","","155","Western Europe","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","4498.37","4800.29","5019.8","5349.3",2015.0,"5349.3"
"CHN","104.1403375","32.30955217","156","China","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","8604.7","9365.5","10255.4","10945.3",2015.0,"10945.3"
"ASM","-170.7187269","-14.30587306","16","American Samoa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","FAO Estimate","FAO Estimate","FAO Estimate","FAO Estimate","E","E","E","E","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","3.192","3.162","3.132","3.115",2015.0,"3.115"
"","","","17","Middle Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","63992.6","63230.1","62434.8","61859.3",2015.0,"61859.3"
"COL","-73.07446751","3.888209046","170","Colombia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","16231.94","15837.04","15458.41","15424.3",2015.0,"15424.3"
"COM","43.34234565","-11.66121732","174","Comoros","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","FAO Estimate","FAO Estimate","FAO Estimate","FAO Estimate","E","E","E","E","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","2.91","2.73","2.56","2.38",2015.0,"2.38"
"COG","15.22052612","-0.840544119","178","Congo","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","5939","5916","5900","5880",2015.0,"5880"
"","","","18","Southern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","Aggregate. Only countries with data for all years included","NA","NA","NA","NA","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","2692.3","2663.1","2632.88","2602",2015.0,"2602"
"COD","23.65496507","-2.877154732","180","Democratic Republic of the Congo","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","G","Global","TONNES_M","Millions of tonnes","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","Official country data submitted to FAO","C","C","C","C","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","FAO, Global Forest Resources Assessment","","","","","34380","34039","33699","33359",2015.0,"33359"
