"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ModeOfTransportation_Code","ModeOfTransportation_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2016","Nature_Code_2016","Source_2016","TimeDetail_2016","Value_2016","Latest_Year","Latest_Value"
"ECU","-78.37005241","-1.447785891","218","Ecuador","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","33,370",2016.0,"33,370"
"","","","223","Eastern Asia (excluding Japan and China)","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","714,967,066",2016.0,"714,967,066"
"ETH","39.63505296","8.631223181","231","Ethiopia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","9,766,178",2016.0,"9,766,178"
"FJI","177.9660884","-17.83301566","242","Fiji","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","430,000",2016.0,"430,000"
"FIN","23.308447","61.91586738","246","Finland","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","25,890,680",2016.0,"25,890,680"
"FRA","2.457288129","46.62660861","250","France","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","414,977,000",2016.0,"414,977,000"
"GEO","43.3713615","42.04813028","268","Georgia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","96,273",2016.0,"96,273"
"DEU","10.3806066","51.08862743","276","Germany","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","323,782,940",2016.0,"323,782,940"
"ATG","-61.7999755","17.07761471","28","Antigua and Barbuda","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","702",2016.0,"702"
"","","","30","Eastern Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.1","Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all","9.1.2","Passenger and freight volumes, by mode of transport","1","IS_TRP_MAILTKM","Mail volume, by mode of transport (tonne kilometres)","2019.Q1.G.01","AIR","Air transport","G","Global","T_KM","Tonne kilometres","","NA","International Civil Aviation Organization (ICAO)","","2,089,138,695",2016.0,"2,089,138,695"
