"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"GRL","-41.39371316","74.75625681","304","Greenland","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","TELE Greenland","TELE Greenland","TELE Greenland","Tele Greenland A/S","Tele Greenland A/S","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","31.7","35.5","44.2","54.5","56.1","57.7","59.4","61.1","62.8","62.8","63.0","64.0","64.9","65.8","66.7","67.6","68.5",2016.0,"68.5"
"GRD","-61.68248568","12.11238395","308","Grenada","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Cable & Wireless Grenada Ltd. trading as LIME","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ECTEL","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","4.1","5.1","14.8","18.6","19.6","20.5","21.4","22.3","23.2","24.1","27.0","30.0","32.0","35.0","51.6","53.8","55.9",2016.0,"55.9"
"AZE","50.01064725","40.39229544","31","Azerbaijan","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","","","NULL","NULL","","Population age 7+.","Population age 7+.","Population age 7+.","Population age 7+.","","Population age 7+.","Population age 7+.","Population age 7+.","NULL","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","","","NULL","NULL","ITU estimate.","State Statistical Committee","State Statistical Committee","State Statistical Committee","ITU estimate.","ITU estimate.","State Statistical Committee of Azerbaijan Republic","State Statistical Committee of the Republic of Azerbaijan","State Statistical Committee of the Republic of Azerbaijan","State Statistical Committee of the Republic of Azerbaijan.","","","","","","","","","","","","","","","","","","0.1","0.3","5.0","","","8.0","12.0","14.5","17.1","27.4","46.0","50.0","54.2","73.0","75.0","77.0","78.2",2016.0,"78.2"
"GLP","-61.64762115","16.14416917","312","Guadeloupe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","NULL","NULL","NULL","NULL","NULL","NULL","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","","","","","","","","","","","","","","","","","","","","","","","","","5.8","9.2","11.4","14.1","17.5","18.7","19.8","21.0","22.2","23.4","","","","","","","",2009.0,"23.4"
"GUM","144.7029305","13.35485404","316","Guam","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Guam Telephone Authority.","Guam Telephone Authority.","Guam Telephone Authority.","Guam Telephone Authority.","Guam Telephone Authority.","Guam Telephone Authority.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","16.1","25.4","31.2","33.7","36.2","38.6","43.9","46.2","48.4","50.6","54.0","57.7","61.5","65.4","69.3","73.1","77.0",2016.0,"77.0"
"ARG","-65.14563274","-35.19446255","32","Argentina","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Population aged 10+. Estimated based on survey results for urban population.","","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SECOM.","SECOM.","SECOM.","SECOM.","SECOM.","SECOM.","SECOM.","SECOM.","SECOM.","Comisión Nacional de Comunicaciones","ITU estimate.","ITU estimate based on INDEC's survey.","ITU estimate.","ITU estimate.","ITU estimate.","Instituto Nacional de Estadistica y Censos.","Instituto Nacional de Estadistica y Censos.","","","","","","","","","","","","","","","","","","7.0","9.8","10.9","11.9","16.0","17.7","20.9","25.9","28.1","34.0","45.0","51.0","55.8","59.9","64.7","68.0","71.0",2016.0,"71.0"
"GTM","-91.2312746","15.00273719","320","Guatemala","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.7","1.7","3.4","4.5","5.1","5.7","6.5","7.3","8.3","9.3","10.5","12.3","16.0","19.7","23.4","28.8","34.5",2016.0,"34.5"
"GIN","-11.28173419","11.00210343","324","Guinea","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Based on operators' information.","Based on operators' information.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ministère de la Communication et des Nouvelles Technologies de l'Information.","Ministère de la Communication et des Nouvelles Technologies de l'Information","Ministère de la Communication et des Nouvelles Technologies de l'Information","ITU estimate.","ITU estimate. ","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.1","0.2","0.4","0.5","0.5","0.5","0.6","0.8","0.9","0.9","1.0","2.0","3.1","4.5","6.4","8.2","9.8",2016.0,"9.8"
"GUY","-58.97322037","4.788012784","328","Guyana","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","","","","","","","","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","NA","NA","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","","","","","","ITU estimate.","National Frequency Management Unit","National Frequency Management Unit","National Frequency Management Unit","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","6.6","13.2","","","","","","13.8","18.2","23.9","29.9","30.0","30.5","31.0","32.0","34.0","35.7",2016.0,"35.7"
"HTI","-72.33640958","18.40426539","332","Haiti","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.2","0.3","0.9","1.6","5.4","6.4","6.8","7.2","7.6","8.1","8.4","9.0","9.8","10.6","11.4","12.2","12.2",2016.0,"12.2"
"HND","-86.59974381","14.82243161","340","Honduras","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","Estimated based on Survey's results. Population age 5+.","Population age 5+.","Population age 5+.","Population age 5+.","Population age 5+.","Population age 5+.","Estimated based on Survey's results. Population age 5+.","NULL","Estimated based on Survey's results. Population age 5+.","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","ITU estimate.","ITU based on ECLAC, OSILAC.","ITU based on ECLAC, OSILAC.","ITU estimate.","ITU based on ECLAC, OSILAC.","Instituto Nacional de Estadistica de Honduras (INE)","ITU estimate.","Comisión Nacional de Telecomunicaciones (CONATEL)","Comisión Nacional de Telecomunicaciones (CONATEL)","Instituto Nacional de Estadistica","Instituto Nacional de Estadistica","ITU estimate.","ITU Estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","1.2","1.4","2.6","4.8","5.6","6.5","7.8","9.4","9.6","9.8","11.1","15.9","18.1","17.8","19.1","27.6","30.0",2016.0,"30.0"
"HKG","114.0266445","22.41749934","344","China, Hong Kong Special Administrative Region","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","Population age 10+ who accessed Internet in previous year.","Population age 10+ who accessed Internet in previous year.","Population age 10+ who accessed Internet in previous year.","Population age 10+ who accessed Internet in previous year.","Population age 10+ who accessed Internet in previous year.","Population age 10+.","Population age 10+.","Population age 10+.","Population age 10+.","Population age 10+.","Population age 10+.","Population age 10+.","All persons aged 10 and over","All persons aged 10 and over","Population age 10+.","Population age 10+.","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department.","Census and Statistics Department.","Census and Statistics Department.","Census and Statistics Department.","Census and Statistics Department.","Office of the Telecommunications Authority","ITU estimate.","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department","Census and Statistics Department.","","","","","","","","","","","","","","","","","","27.8","38.7","43.1","52.2","56.4","56.9","60.8","64.8","66.7","69.4","72.0","72.2","72.9","74.2","79.9","84.9","87.5",2016.0,"87.5"
"HUN","19.41221519","47.1651448","348","Hungary","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74."," Users in the last 3 months. Age 16-74."," Users in the last 3 months.","Population age 16-74.","Population age 16-74.","Population age 16-74.","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","National Communications Authority.","National Communications Authority.","National Communications Authority.","National Communications Authority.","ITU estimate based on Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat","Eurostat.","Eurostat.","","","","","","","","","","","","","","","","","","7.0","14.5","16.7","21.6","27.7","39.0","47.1","53.3","61.0","62.0","65.0","68.0","70.6","72.6","75.7","72.8","79.3",2016.0,"79.3"
"ISL","-19.02116966","64.79134763","352","Iceland","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","Break in comparability, from this year on data based on Eurostat.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","NULL","NULL","Population age 16-74, in the last 3 months."," Users in the last 3 months. Age 16-74."," Users in the last 3 months.","Population age 16-74.","Population age 16-74.","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Iceland Telecom Ltd.","Iceland Telecom Ltd.","ITU estimate based on Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Post and Telecom Administration","Post and Telecom Administration","Post and Telecom Administration","Eurostat.","Eurostat.","Eurostat.","Eurostat","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","44.5","49.4","79.1","83.1","83.9","87.0","89.5","90.6","91.0","93.0","93.4","94.8","96.2","96.5","98.2","98.2","98.2",2016.0,"98.2"
"IND","79.3608464","22.34642074","356","India","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","December.","NULL","NULL","September. ","September. ","NULL","NULL","NULL","Estimate based on market research reports indicating 121 million Internet users by 12/2011. India has 20.99  million Internet connections (incl. broad- and narrowband subscript. excl. mobile phone subscript. with data capabilities) in 09/2011.","NULL","NULL","NULL","NULL","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Department of Telecommunications (DOT). Ministry of Communications and Information Technology.","Department of Telecommunications (DOT). Ministry of Communications and Information Technology.","Department of Telecommunications (DOT). Ministry of Communications and Information Technology.","Department of Telecommunications (DOT). Ministry of Communications and Information Technology.","ITU estimate. ","ITU estimate. ","Internet in India [I Cube] Report 2007. ","Department of Telecommunications, Ministry of Communications & IT","Department of Telecommunications, Ministry of Communications & IT","Department of Telecommunications, Ministry of Communications & IT","ITU estimate.","DoT / TRAI.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","0.5","0.7","1.5","1.7","2.0","2.4","2.8","4.0","4.4","5.1","7.5","10.1","12.6","15.1","21.0","26.0","29.5",2016.0,"29.5"
"AUS","134.3499412","-25.57717202","36","Australia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","","","","Population age 15+.","Population age 15+.","Population age 15+.","Population age 15+.","Population age 15+.","NULL","Individuals aged 15 years and over"," Individuals aged 15 years and over","Population age 15+.","NULL","Population age 15+.","NULL","NA","NA","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ABS Household Use of Information Technology Survey.","ITU estimate.","","","","Australian Bureau of Statistics.","Australian Bureau of Statistics. ","Australian Bureau of Statistics.","Australian Bureau of Statistics.","Australian Bureau of Statistics.","ITU estimate.","Australian Bureau of Statistics","Australian Bureau of Statistics","Australian Bureau of Statistics","ITU estimate.","Australian Bureau of Statistics","ITU Estimate.","","","","","","","","","","","","","","","","","","46.8","52.7","","","","63.0","66.0","69.5","71.7","74.3","76.0","79.5","79.0","83.5","84.0","84.6","88.2",2016.0,"88.2"
"IDN","113.9174","-0.994582204","360","Indonesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","","Refers to total population.","Break in comparability. Population age 5+. (value for all population is 11.11%)."," Population age 5+.","Population age 5+.","Population age 5+.","Population age 5+.","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","Indonesian Internet Service Provider Association.","ITU estimate.","Ministry of Communication and Information Technology","Ministry of Communication and Information Technology","Badan Pusat Statistik.","BPS-Statistics Indonesia","BPS-Statistics Indonesia","BPS-Statistics Indonesia","BPS-Statistics Indonesia","BPS-Statistics Indonesia.","","","","","","","","","","","","","","","","","","0.9","2.0","2.1","2.4","2.6","3.6","4.8","5.8","7.9","6.9","10.9","12.3","14.5","14.9","17.1","22.0","25.4",2016.0,"25.4"
"IRN","54.19766348","32.74370885","364","Iran (Islamic Republic of)","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Population age 6+.","","Population age 6+.","","Population age 6+.","Population age 6+.","Country estimate.","Country estimate.","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Ministry of Information and Communications Technology.","Ministry of Information and Communications Technology.","Ministry of Information and Communications Technology.","Communications Regulatory Authority (CRA).","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Statistical Centre of Iran (SCI)","ITU estimate.","Statistical Center of Iran.","ITU estimate.","Statistical Centre of Iran (SCI)","Statistical Centre of Iran (SCI)","Statistical Centre of Iran (SCI)","Statistical Centre of Iran (SCI)","Statistical Centre of Iran (SCI).","","","","","","","","","","","","","","","","","","0.9","1.5","4.6","6.9","7.5","8.1","8.8","9.5","12.0","13.8","15.9","19.0","22.7","30.0","39.4","45.3","53.2",2016.0,"53.2"
"IRQ","43.76606267","33.05013795","368","Iraq","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","NULL","NULL","NULL","NULL","NULL","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","ITU estimate.","Ministry of Communications","Ministry of Communications","Ministry of Communications","Ministry of Communications","Ministry of Communications","ITU estimate.","ITU estimate.","ITU estimate.","Central Statistical Organization","ITU estimate.","ITU Estimate.","","","","","","","","","","","","","","","","","","","0.1","0.5","0.6","0.9","0.9","1.0","0.9","1.0","1.1","2.5","5.0","7.1","9.2","13.2","17.2","21.2",2016.0,"21.2"
"IRL","-7.121425272","53.25274054","372","Ireland","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","Population age 15+.","Population age 15+.","age 15+.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74.","Population age 16-74."," Users in the last 3 months. Age 16-74."," Users in the last 3 months.","Population age 16-74.","Population age 16-74. Last three months.","Population age 16-74. Last three months.","Population age 16-74. Last three months.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Amarach.","Amarach.","Amarach.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat.","Eurostat","Eurostat.","Eurostat.","","","","","","","","","","","","","","","","","","17.9","23.1","25.9","34.3","37.0","41.6","54.8","61.2","65.3","67.4","69.9","74.9","76.9","78.2","83.5","83.5","85.0",2016.0,"85.0"
"ISR","34.62277992","31.06164552","376","Israel","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.8","Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology","17.8.1","Proportion of individuals using the Internet","1","IT_USE_ii99","Internet users per 100 inhabitants","2019.Q1.G.01","G","Global","PER_100_POP","Per 100 population","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Population age 20+.","Population age 20+.","Population age 20+.","Population age 20+.","Age 20+. in the last 3 months","Age 20+. in the last 3 months","Age 20+. in the last 3 months","Population age 20+.","Population age 20+.","NULL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Central Bureau of Statistics.","Central Bureau of Statistics.","Central Bureau of Statistics.","Central Bureau of Statistics","Central Bureau of Statistics","Central Bureau of Statistics","CENTRAL BUREAU OF STATISTICS","CENTRAL BUREAU OF STATISTICS","Israel Central Bureau of Statistics","Israel Central Bureau of Statistics.","","","","","","","","","","","","","","","","","","20.9","17.4","17.8","19.6","22.8","25.2","27.9","48.1","59.4","63.1","67.5","68.9","70.8","70.3","75.0","77.4","79.7",2016.0,"79.7"
