seriesCode,countryAttributeId,seriesId,seriesName,sourceId,tableId
totpopunhc,,1619,Total population of concern to UNHCR (number),90,78
homirate,,1621,"Intentional homicide rates per 100,000",92,104
homivicF,,1622,"Percentage of male and female intentional homicide victims, Female									",92,104
homivicM,,1623,"Percentage of male and female intentional homicide victims, Male",92,104
assault,,1624,"Assault rate per 100,000 population",92,104
kidnap,,1625,"Kidnapping at the national level, rate per 100,000",92,104
sviolence,,1626,"Total Sexual Violence at the national level, rate per 100,000		",92,104
theft,,1627,"Theft at the national level, rate per 100,000 population																			",92,104
robbery,,1628,"Robbery at the national level, rate per 100,000 population																										",92,104
%gre_pri_F,,1629,Gross enrollment ratio - Primary (female),24,1
%ger_sec_M,,1630,Gross enrollment ratio - Secondary (male),24,1
%ger_ter_M,,1631,Gross enrollment ratio - Tertiary (male),24,1
edugdp,,1632,Public expenditure on education (% of GDP),24,109
edugov,,1633,Public expenditure on education (% of government expenditure),24,109
exppreprim,,1634,Expenditure by level of education: pre-primary (as % of government expenditure),24,109
expprim,,1635,Expenditure by level of education: primary (as % of government expenditure),24,109
expsec,,1636,Expenditure by level of education: secondary (as % of government expenditure),24,109
exptert,,1637,Expenditure by level of education: tertiary (as % of government expenditure),24,109
staffcomp,,1638,All staff compensation as % of total expenditure in public institutions (%)																,24,109
currentexp,,1639,Current expenditure other than staff compensation as % of total expenditure in public institutions (%)																,24,109
capexpedu,,1640,Capital expenditure as % of total expenditure in public institutions (%)																,24,109
%ger_pri_M,,1641,Gross enrollement ratio - Primary (male),24,1
%ger_sec_F,,1642,Gross enrollment ratio - Secondary (female),24,1
%gre_ter_F,,1643,Gross enrollment ratio - Tertiary (female),24,1
